,Name,Mileage,Price
0,2009 Volkswagen GLI,"125,858 mi.","$6,500"
1,2008 Volkswagen GLI GLI,"74,135 mi.","$7,998"
2,2008 Volkswagen GLI 4dr Sdn Man PZEV,"103,301 mi.","$6,666"
3,2008 Volkswagen GLI,"107,459 mi.","$5,866"
4,2009 Volkswagen GLI 4dr Sdn Man,"100,072 mi.","$7,995"
5,2009 Volkswagen GLI 4dr Sdn Man,"111,611 mi.","$7,000"
6,2009 Volkswagen GLI GLI,"97,461 mi.","$7,763"
7,2009 Volkswagen GLI,"109,081 mi.","$5,450"
8,2009 Volkswagen GLI,"132,417 mi.",Not Priced
9,2008 Volkswagen GLI 4dr Sdn Avail*,"144,350 mi.",Not Priced
