,Name,Mileage,Price
0,2017 Volkswagen Golf Alltrack SE,"14,276 mi.","$19,995"
1,2017 Volkswagen Golf Alltrack TSI SE,690 mi.,"$21,287"
2,2017 Volkswagen Golf Alltrack TSI S,"22,796 mi.","$23,000"
3,2017 Volkswagen Golf Alltrack TSI S,"22,796 mi.","$23,000"
4,2017 Volkswagen Golf Alltrack TSI SEL,"46,107 mi.","$20,532"
5,2018 Volkswagen Golf Alltrack TSI S,"8,398 mi.","$22,999"
6,2018 Volkswagen Golf Alltrack TSI SEL,"8,502 mi.","$27,399"
7,2018 Volkswagen Golf Alltrack TSI SEL,"8,711 mi.","$27,399"
8,2017 Volkswagen Golf Alltrack TSI SEL,"5,078 mi.","$25,998"
9,2017 Volkswagen Golf Alltrack TSI SE,"10,594 mi.","$23,500"
10,2017 Volkswagen Golf Alltrack TSI SE,"7,306 mi.","$23,700"
11,2018 Volkswagen Golf Alltrack TSI S,"4,407 mi.","$24,829"
12,2017 Volkswagen Golf Alltrack S,"10,392 mi.","$21,845"
13,2017 Volkswagen Golf Alltrack TSI SEL,"10,257 mi.","$25,355"
14,2017 Volkswagen Golf Alltrack TSI SEL,"8,679 mi.","$27,982"
15,2017 Volkswagen Golf Alltrack TSI S,"39,755 mi.","$19,950"
16,2017 Volkswagen Golf Alltrack TSI SE,"7,110 mi.","$23,899"
17,2017 Volkswagen Golf Alltrack TSI SEL,"13,753 mi.","$24,199"
18,2017 Volkswagen Golf Alltrack TSI SEL,"4,174 mi.","$25,998"
19,2017 Volkswagen Golf Alltrack TSI SEL,"7,159 mi.","$23,950"
20,2017 Volkswagen Golf Alltrack TSI SEL,"4,545 mi.","$28,430"
21,2017 Volkswagen Golf Alltrack TSI S,"22,796 mi.","$23,000"
22,2017 Volkswagen Golf Alltrack TSI SE,"43,530 mi.","$20,690"
23,2017 Volkswagen Golf Alltrack TSI SE,"11,038 mi.","$21,498"
24,2017 Volkswagen Golf Alltrack TSI SE,"8,087 mi.","$24,874"
25,2017 Volkswagen Golf Alltrack TSI S,"56,515 mi.","$17,995"
26,2017 Volkswagen Golf Alltrack TSI SEL,"19,367 mi.","$21,000"
