,Name,Mileage,Price
0,2012 Volkswagen Golf R 2-Door,"4,968 mi.","$24,988"
1,2016 Volkswagen Golf R 4-Door,"20,006 mi.","$30,250"
2,2016 Volkswagen Golf R 4MOTION,"17,124 mi.","$30,775"
3,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
4,2017 Volkswagen Golf R 4-Door,"10,815 mi.","$32,697"
5,2017 Volkswagen Golf R 4-Door,"9,397 mi.","$32,997"
6,2016 Volkswagen Golf R,"25,708 mi.","$29,524"
7,2013 Volkswagen Golf R 4-Door,"42,115 mi.","$23,499"
8,2015 Volkswagen Golf R 4-Door,"40,423 mi.","$29,998"
9,2015 Volkswagen Golf R 4-Door,"26,250 mi.","$27,200"
10,2016 Volkswagen Golf R 4-Door,"36,212 mi.","$31,900"
11,2016 Volkswagen Golf R,"42,860 mi.","$32,000"
12,2016 Volkswagen Golf R 4-Door,"33,938 mi.","$29,498"
13,2016 Volkswagen Golf R DCC & Navigation 4Motion,"32,448 mi.","$28,994"
14,2013 Volkswagen Golf R 2-Door,"69,170 mi.","$21,998"
15,2012 Volkswagen Golf R 2-Door,"53,290 mi.","$21,383"
16,2017 Volkswagen Golf R 4-Door w/DCC & Navigation,"27,289 mi.","$32,666"
17,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
18,2016 Volkswagen Golf R 4-Door,"18,019 mi.","$29,499"
19,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
20,2015 Volkswagen Golf R 4-Door,"26,281 mi.","$29,494"
21,2016 Volkswagen Golf R 4-Door,"54,891 mi.","$26,834"
22,2016 Volkswagen Golf R Base,"36,055 mi.","$29,498"
23,2016 Volkswagen Golf R,"36,880 mi.","$28,499"
24,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
25,2016 Volkswagen Golf R DCC & Navigation 4Mo,"20,461 mi.","$30,999"
26,2016 Volkswagen Golf R 4-Door,"35,616 mi.","$29,691"
27,2016 Volkswagen Golf R 4-Door,"31,779 mi.","$30,998"
28,2015 Volkswagen Golf R 4-Door,"22,656 mi.","$30,998"
29,2017 Volkswagen Golf R 4-Door,"4,432 mi.","$36,998"
30,2016 Volkswagen Golf R 4-Door,"33,160 mi.","$29,998"
31,2012 Volkswagen Golf R R,"52,814 mi.","$21,500"
32,2016 Volkswagen Golf R 4-Door,"40,030 mi.","$30,000"
33,2015 Volkswagen Golf R 4-Door,"54,955 mi.","$27,888"
34,2016 Volkswagen Golf R 4DR HB DSG W/DCC/,"36,787 mi.","$35,982"
35,2015 Volkswagen Golf R 4DR HB DSG W/DCC/,"43,027 mi.","$34,999"
36,2012 Volkswagen Golf R 4-Door,"47,678 mi.","$22,300"
37,2016 Volkswagen Golf R 4-Door,"61,854 mi.","$26,995"
38,2012 Volkswagen Golf R 2-Door,"71,776 mi.","$16,988"
39,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
40,2016 Volkswagen Golf R 4-Door,"27,532 mi.","$25,999"
41,2017 Volkswagen Golf R 4-Door w/DCC & Navigation,"66,898 mi.","$27,995"
42,2013 Volkswagen Golf R 2-Door,"62,017 mi.","$17,984"
43,2012 Volkswagen Golf R 4-Door,"91,860 mi.","$18,487"
44,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
45,2016 Volkswagen Golf R 4-Door,"15,127 mi.","$33,944"
46,2012 Volkswagen Golf R 4-Door,"98,184 mi.","$17,999"
47,2013 Volkswagen Golf R 4-Door,"63,873 mi.","$19,999"
48,2013 Volkswagen Golf R 2-Door,"45,973 mi.","$23,998"
49,2016 Volkswagen Golf R 4-Door,"37,189 mi.","$26,993"
50,2015 Volkswagen Golf R 4-Door,"76,580 mi.","$21,877"
51,2013 Volkswagen Golf R 4-Door,"66,549 mi.","$19,800"
52,2015 Volkswagen Golf R 4-Door,"24,145 mi.","$26,793"
53,2013 Volkswagen Golf R w/Sunroof & Navi,"95,324 mi.","$18,855"
54,2016 Volkswagen Golf R 4-Door,"14,895 mi.","$31,995"
55,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
56,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
57,2017 Volkswagen Golf R 4-Door w/DCC & Navigation,"21,847 mi.","$30,950"
58,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
59,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
60,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
61,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
62,2015 Volkswagen Golf R 4-Door,"56,590 mi.","$27,998"
63,2016 Volkswagen Golf R 4-Door,"19,701 mi.","$33,787"
64,2013 Volkswagen Golf R 2-Door,"72,916 mi.","$16,900"
65,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
66,2015 Volkswagen Golf R 4-Door,"35,630 mi.","$30,998"
67,2012 Volkswagen Golf R 4-Door,"61,999 mi.","$20,991"
68,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
69,2016 Volkswagen Golf R 4-Door,"20,134 mi.","$30,999"
70,2017 Volkswagen Golf R 4-Door,"16,403 mi.","$33,150"
71,2013 Volkswagen Golf R 4-Door,"76,909 mi.","$17,833"
72,2017 Volkswagen Golf R DCC & Navigation 4Motion,"12,030 mi.","$33,588"
73,2016 Volkswagen Golf R DCC & Navigation 4Motion,"43,080 mi.","$27,988"
74,2016 Volkswagen Golf R DCC & Navigation 4Motion,"38,886 mi.","$28,713"
75,2013 Volkswagen Golf R 4-Door,"75,330 mi.","$18,884"
76,2015 Volkswagen Golf R 4-Door,"24,358 mi.","$30,214"
77,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
78,2016 Volkswagen Golf R 4-Door,"28,956 mi.","$29,999"
79,2012 Volkswagen Golf R 2-Door,"94,485 mi.","$15,895"
80,2016 Volkswagen Golf R 4-Door,"22,096 mi.","$28,998"
81,2016 Volkswagen Golf R 4-Door,"19,043 mi.","$31,795"
82,2016 Volkswagen Golf R 4-Door,"45,501 mi.","$27,556"
83,2016 Volkswagen Golf R 4-Door,"45,501 mi.","$27,556"
84,2015 Volkswagen Golf R 4-Door,"27,718 mi.","$27,000"
85,2017 Volkswagen Golf R 4-Door w/DCC & Navigation,"6,837 mi.","$34,850"
86,2016 Volkswagen Golf R 4-Door,"27,016 mi.","$29,999"
87,2016 Volkswagen Golf R,"58,835 mi.","$27,995"
88,2013 Volkswagen Golf R 4-Door,"74,006 mi.","$20,495"
89,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
90,2016 Volkswagen Golf R 4-Door,"35,526 mi.","$32,997"
91,2016 Volkswagen Golf R DCC & Navigation 4Motion,"17,314 mi.","$32,595"
92,2016 Volkswagen Golf R 4-Door,"17,700 mi.","$33,495"
93,2016 Volkswagen Golf R 4-Door,"50,000 mi.","$28,695"
94,2016 Volkswagen Golf R 4-Door,"31,008 mi.","$32,736"
95,2017 Volkswagen Golf R 4-Door w/DCC & Navigation,"11,296 mi.","$34,986"
96,2013 Volkswagen Golf R 4-Door,"79,166 mi.","$18,995"
97,2016 Volkswagen Golf R 4-Door,"12,289 mi.","$33,240"
98,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
99,2016 Volkswagen Golf R DCC & Navigation 4Motion,"31,033 mi.","$28,111"
100,2013 Volkswagen Golf R 2-Door,"58,700 mi.","$21,499"
101,2017 Volkswagen Golf R 4-Door,"17,510 mi.","$31,477"
102,2016 Volkswagen Golf R 4-Door,"55,755 mi.","$25,500"
103,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
104,2013 Volkswagen Golf R 2-Door,"58,101 mi.","$21,491"
105,2013 Volkswagen Golf R 4-Door,"39,569 mi.","$22,991"
106,2017 Volkswagen Golf R 4-Door,"16,575 mi.","$31,600"
107,2017 Volkswagen Golf R 4-Door,"19,609 mi.","$32,300"
108,2012 Volkswagen Golf R 4-Door,"77,440 mi.","$18,582"
109,2017 Volkswagen Golf R 4-Door,"19,609 mi.","$32,300"
110,2013 Volkswagen Golf R 4-Door,"92,740 mi.","$19,500"
111,2016 Volkswagen Golf R 4-Door,"27,053 mi.","$24,999"
112,2016 Volkswagen Golf R 4-Door,"27,532 mi.","$25,999"
113,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
114,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
115,2015 Volkswagen Golf R 4-Door,"39,001 mi.","$26,900"
116,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
117,2016 Volkswagen Golf R Base,"45,998 mi.","$29,677"
118,2016 Volkswagen Golf R 4-Door,"29,965 mi.","$33,792"
119,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
120,2016 Volkswagen Golf R Base,"27,181 mi.","$30,980"
121,2016 Volkswagen Golf R 4MOTION,"21,163 mi.","$30,000"
122,2013 Volkswagen Golf R 4-Door,"95,133 mi.","$20,750"
123,2016 Volkswagen Golf R 4-Door,"57,144 mi.","$26,250"
124,2016 Volkswagen Golf R 4-Door,"29,965 mi.","$33,792"
125,2016 Volkswagen Golf R 4-Door,"14,338 mi.","$34,995"
