,Name,Mileage,Price
0,2016 Volkswagen Golf TSI SE 4-Door,"22,904 mi.","$13,950"
1,2016 Volkswagen Golf TSI SE 4-Door,"25,267 mi.","$14,998"
2,2016 Volkswagen Golf S,"51,831 mi.","$13,998"
3,2016 Volkswagen Golf TSI SE 4-Door,"28,490 mi.","$15,000"
4,2016 Volkswagen Golf TSI 2-Door,"28,287 mi.","$15,888"
5,2016 Volkswagen Golf TSI SE 4-Door,"20,785 mi.","$15,986"
6,2016 Volkswagen Golf TSI SE 4-Door,"24,833 mi.","$14,986"
7,2013 Volkswagen Golf 2.0 TDI,"27,777 mi.","$12,457"
8,2013 Volkswagen Golf 2.0 TDI,"35,894 mi.","$11,956"
9,2015 Volkswagen Golf TDI S 4-Door,"62,029 mi.","$10,607"
10,2017 Volkswagen Golf TSI SEL 4-Door,"1,899 mi.","$20,500"
11,2012 Volkswagen Golf 2.5L,"29,000 mi.","$11,495"
12,2016 Volkswagen Golf TSI S 4-Door,"23,926 mi.","$14,900"
13,2016 Volkswagen Golf TSI SE 4-Door,"24,226 mi.","$13,750"
14,2015 Volkswagen Golf Auto TSI SE,"17,101 mi.","$14,777"
15,2016 Volkswagen Golf TSI SE 4-Door,"15,195 mi.","$14,200"
16,2016 Volkswagen Golf TSI SE 4-Door,"12,132 mi.","$14,500"
17,2015 Volkswagen Golf TSI S 2-Door,"23,166 mi.","$12,500"
18,2015 Volkswagen Golf TSI S 2-Door,"25,469 mi.","$9,495"
19,2011 Volkswagen Golf 2.5L,"37,462 mi.","$8,500"
20,2015 Volkswagen Golf TDI S 4-Door,"46,434 mi.","$12,995"
21,2011 Volkswagen Golf TDI,"97,058 mi.","$8,401"
22,2018 Volkswagen Golf TSI S,"9,885 mi.","$22,581"
23,2016 Volkswagen Golf TSI S w/Sunroof,"10,515 mi.","$15,988"
24,2017 Volkswagen Golf TSI SE 4-Door,"12,415 mi.","$20,493"
25,2013 Volkswagen Golf 2.5L,"54,717 mi.","$7,995"
26,2014 Volkswagen Golf 2.5L,"48,561 mi.","$10,385"
27,2014 Volkswagen Golf TDI,"62,372 mi.","$10,930"
28,2014 Volkswagen Golf TDI,"49,150 mi.","$12,222"
29,2014 Volkswagen Golf TDI,"73,820 mi.","$10,500"
30,2015 Volkswagen Golf TDI S 4-Door,"32,822 mi.","$12,999"
31,2015 Volkswagen Golf TDI S 4-Door,"38,536 mi.","$11,997"
32,2012 Volkswagen Golf TDI,"53,918 mi.","$8,995"
33,2003 Volkswagen Golf GL,"173,828 mi.","$2,650"
34,2011 Volkswagen Golf TDI,"56,664 mi.","$9,988"
35,2015 Volkswagen Golf DSG TDI SEL,"20,452 mi.","$16,988"
36,2015 Volkswagen Golf TDI S 4-Door,"16,265 mi.","$15,975"
37,2015 Volkswagen Golf TDI S 4-Door,"31,010 mi.","$14,975"
38,2012 Volkswagen Golf 2.5L,"54,373 mi.","$8,649"
39,2011 Volkswagen Golf TDI,"96,399 mi.","$8,277"
40,2013 Volkswagen Golf TDI,"53,748 mi.","$11,270"
41,2011 Volkswagen Golf TDI,"58,932 mi.","$10,998"
42,2016 Volkswagen Golf TSI 2-Door,"26,421 mi.","$13,000"
43,2014 Volkswagen Golf w/Conv & Sunroof,"45,559 mi.","$13,400"
44,2015 Volkswagen Golf TDI S 4-Door,"26,926 mi.","$12,524"
45,2015 Volkswagen Golf TDI S 4-Door,"49,385 mi.","$14,565"
46,2015 Volkswagen Golf TDI SE 4-Door,"52,245 mi.","$12,900"
47,2015 Volkswagen Golf TSI SE 4-Door,"6,629 mi.","$15,987"
48,2015 Volkswagen Golf TSI SE 4-Door,"15,997 mi.","$15,777"
49,2011 Volkswagen Golf 2.5L,"85,128 mi.","$7,360"
50,2016 Volkswagen Golf TSI S 4-Door,"25,210 mi.","$16,500"
51,2012 Volkswagen Golf TDI,"59,348 mi.","$10,650"
52,2013 Volkswagen Golf TDI,"55,795 mi.","$11,990"
53,2014 Volkswagen Golf TDI,"37,164 mi.","$11,850"
54,2015 Volkswagen Golf DSG TDI SEL,"25,721 mi.","$17,970"
55,2014 Volkswagen Golf TDI,"84,402 mi.","$10,999"
56,2018 Volkswagen Golf TSI SE,"1,338 mi.","$18,791"
57,2018 Volkswagen Golf TSI SE,"5,312 mi.","$20,492"
58,2011 Volkswagen Golf TDI,"60,833 mi.","$9,245"
59,2013 Volkswagen Golf 2.0 TDI,"31,145 mi.","$12,619"
60,2015 Volkswagen Golf TDI S 4-Door,"23,600 mi.","$13,799"
61,2014 Volkswagen Golf TDI,"33,414 mi.","$10,900"
62,2014 Volkswagen Golf TDI,"27,551 mi.","$11,987"
63,2015 Volkswagen Golf TSI S 4-Door,"4,322 mi.","$17,988"
64,2015 Volkswagen Golf TDI S 4-Door,"19,484 mi.","$13,800"
65,2016 Volkswagen Golf S,"29,910 mi.","$14,998"
66,2013 Volkswagen Golf 2.5L,"84,970 mi.","$7,662"
67,2016 Volkswagen Golf TSI SE 4-Door,"45,497 mi.","$13,390"
68,2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,"21,162 mi.","$14,988"
69,2012 Volkswagen Golf TDI,"81,388 mi.","$9,595"
70,2012 Volkswagen Golf TDI,"77,005 mi.","$10,555"
71,2012 Volkswagen Golf TDI,"45,706 mi.","$10,895"
72,2016 Volkswagen Golf TSI SE 4-Door,"14,497 mi.","$14,973"
73,2016 Volkswagen Golf TSI SE 4-Door,"22,178 mi.","$16,500"
74,2016 Volkswagen Golf TSI SE 4-Door,"31,905 mi.","$12,499"
75,2015 Volkswagen Golf TDI S 4-Door,"7,330 mi.","$14,929"
76,2014 Volkswagen Golf TDI,"18,441 mi.","$13,789"
77,2015 Volkswagen Golf Auto TSI SE,"31,651 mi.","$10,599"
78,2014 Volkswagen Golf 2.5L,"26,837 mi.","$10,399"
79,2012 Volkswagen Golf Base,"34,041 mi.","$8,770"
80,2015 Volkswagen Golf DSG TDI S,"17,605 mi.","$13,200"
81,2014 Volkswagen Golf 2.5L,"43,081 mi.","$10,996"
82,2013 Volkswagen Golf TDI,"67,300 mi.","$10,990"
83,2016 Volkswagen Golf TSI 2-Door,"38,933 mi.","$14,900"
84,2015 Volkswagen Golf DSG TDI SEL,"23,951 mi.","$17,995"
85,2016 Volkswagen Golf TSI SE 4-Door,"23,741 mi.","$14,997"
86,2012 Volkswagen Golf TDI,"29,160 mi.","$9,990"
87,2011 Volkswagen Golf TDI,"31,850 mi.","$10,999"
88,2012 Volkswagen Golf TDI,"45,992 mi.","$11,277"
89,2016 Volkswagen Golf TSI S,"6,941 mi.","$15,477"
90,2015 Volkswagen Golf DSG TDI S,"34,283 mi.","$14,480"
91,2015 Volkswagen Golf TDI S 4-Door,"15,402 mi.","$15,477"
92,2015 Volkswagen Golf Auto TSI SE,"36,959 mi.","$12,370"
93,2017 Volkswagen Golf TSI SEL 4-Door,"5,335 mi.","$21,990"
94,2013 Volkswagen Golf 2.5L,"15,304 mi.","$11,495"
95,2012 Volkswagen Golf TDI,"73,275 mi.","$9,795"
96,2016 Volkswagen Golf TSI SE 4-Door,"39,907 mi.","$16,744"
97,2017 Volkswagen Golf 1.8T 4-Door S Manual,"13,959 mi.","$16,591"
98,2011 Volkswagen Golf TDI,"47,607 mi.","$9,995"
99,2011 Volkswagen Golf TDI,"65,368 mi.","$9,525"
100,2015 Volkswagen Golf TSI S,"38,020 mi.","$10,980"
101,2013 Volkswagen Golf 2.0 TDI,"83,297 mi.","$9,488"
102,2012 Volkswagen Golf TDI,"37,627 mi.","$10,995"
103,2018 Volkswagen Golf TSI S,"3,936 mi.","$17,850"
104,2017 Volkswagen Golf S,"3,004 mi.","$16,500"
105,2015 Volkswagen Golf TSI SE 4-Door,"10,905 mi.","$16,988"
106,2015 Volkswagen Golf TSI SE 4-Door,"39,361 mi.","$17,595"
107,2016 Volkswagen Golf TSI SE 4-Door,"24,589 mi.","$16,199"
108,2014 Volkswagen Golf TDI,"35,085 mi.","$14,998"
109,2014 Volkswagen Golf 2.5L,"30,116 mi.","$13,600"
110,2013 Volkswagen Golf 2.5L,"29,978 mi.","$11,900"
111,2013 Volkswagen Golf 2.5L,"133,666 mi.","$7,495"
112,2015 Volkswagen Golf TSI S 2-Door,"32,884 mi.","$13,675"
113,2017 Volkswagen Golf S,"61,788 mi.","$11,500"
114,2016 Volkswagen Golf TSI S 4-Door,"16,684 mi.","$13,997"
115,2015 Volkswagen Golf TSI S 2-Door,"32,283 mi.","$13,490"
116,2013 Volkswagen Golf 2.5L,"38,640 mi.","$9,988"
117,2011 Volkswagen Golf TDI,"59,819 mi.","$9,985"
118,2017 Volkswagen Golf TSI S 4-Door,"21,422 mi.","$15,488"
119,2018 Volkswagen Golf TSI S,"1,825 mi.","$16,982"
120,2017 Volkswagen Golf S,"24,130 mi.","$15,780"
121,2013 Volkswagen Golf 2.0 TDI,"104,306 mi.","$7,785"
122,2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,"7,295 mi.","$18,998"
123,2014 Volkswagen Golf TDI,"62,372 mi.","$10,930"
124,2011 Volkswagen Golf TDI,"58,852 mi.","$9,698"
125,2018 Volkswagen Golf TSI SE,"14,844 mi.","$23,500"
126,2015 Volkswagen Golf TSI S,"51,498 mi.","$12,979"
127,2011 Volkswagen Golf TDI,"65,432 mi.","$10,495"
128,2011 Volkswagen Golf TDI,"119,259 mi.","$8,495"
129,2015 Volkswagen Golf DSG TDI S,"57,824 mi.","$11,999"
130,2013 Volkswagen Golf TDI,"76,659 mi.","$9,575"
131,2014 Volkswagen Golf TDI,"22,015 mi.","$14,495"
132,2011 Volkswagen Golf TDI,"75,255 mi.","$10,475"
133,2012 Volkswagen Golf TDI,"66,135 mi.","$10,975"
134,2012 Volkswagen Golf TDI,"42,343 mi.","$11,997"
135,2013 Volkswagen Golf 2.5L,"83,643 mi.","$6,195"
136,2012 Volkswagen Golf TDI,"84,898 mi.","$9,777"
137,2014 Volkswagen Golf TDI,"14,860 mi.","$13,314"
138,2016 Volkswagen Golf,"49,086 mi.","$14,150"
139,2015 Volkswagen Golf TDI S 4-Door,"36,505 mi.","$14,750"
140,2012 Volkswagen Golf,"42,347 mi.","$11,693"
141,2015 Volkswagen Golf Man Launch Edition,"25,934 mi.","$11,365"
142,2015 Volkswagen Golf TDI S 4-Door,"31,406 mi.","$14,866"
143,2018 Volkswagen Golf TSI S,"7,442 mi.","$19,339"
144,2015 Volkswagen Golf TDI SEL 4-Door,"41,478 mi.","$16,889"
145,2017 Volkswagen Golf Wolfsburg Edition,"28,091 mi.","$16,955"
146,2015 Volkswagen Golf TSI S 2-Door,"28,495 mi.","$11,940"
147,2012 Volkswagen Golf TDI/TECH PKG/SUNROOF/HEATED SEATS/HEATED MIRRORS/F,"46,750 mi.","$11,992"
148,2013 Volkswagen Golf TDI/TECH PKG/ONE OWNER/NAVIGATION/HEATED SEATS/PUS,"59,846 mi.","$11,982"
149,2016 Volkswagen Golf TSI S 4-Door,"26,822 mi.","$13,984"
150,2018 Volkswagen Golf TSI S,"7,476 mi.","$18,695"
151,2015 Volkswagen Golf DSG TDI SEL,"42,991 mi.","$15,991"
152,2015 Volkswagen Golf TDI S 4-Door,"32,627 mi.","$12,976"
153,2015 Volkswagen Golf TDI S 4-Door,"56,237 mi.","$12,468"
154,2014 Volkswagen Golf TDI,"35,298 mi.","$13,660"
155,2015 Volkswagen Golf TDI SEL 4-Door,"26,233 mi.","$16,774"
156,2015 Volkswagen Golf TDI S 4-Door,"51,083 mi.","$13,094"
157,2011 Volkswagen Golf TDI,"49,336 mi.","$10,990"
158,2015 Volkswagen Golf,"17,419 mi.","$17,000"
159,2015 Volkswagen Golf TSI,"34,722 mi.","$12,445"
160,2011 Volkswagen Golf TDI,"75,025 mi.","$8,816"
161,2012 Volkswagen Golf TDI,"80,010 mi.","$8,676"
162,2011 Volkswagen Golf TDI,"73,534 mi.","$9,500"
163,2015 Volkswagen Golf TDI S 4-Door,"39,860 mi.","$13,400"
164,2015 Volkswagen Golf TDI S 4-Door,"9,055 mi.","$15,400"
165,2014 Volkswagen Golf TDI,"31,923 mi.","$13,800"
166,2000 Volkswagen Golf GLS TDI,"262,494 mi.","$2,250"
167,2013 Volkswagen Golf 2.5L,"37,072 mi.","$8,788"
168,2017 Volkswagen Golf S,"18,603 mi.","$15,960"
169,2015 Volkswagen Golf Auto TSI SEL,"107,352 mi.","$8,999"
170,2016 Volkswagen Golf TSI S 4-Door,"30,327 mi.","$14,795"
171,2011 Volkswagen Golf 2.5L,"94,700 mi.","$6,450"
172,2012 Volkswagen Golf TDI,"82,461 mi.","$9,000"
173,2016 Volkswagen Golf TSI S 4-Door,"20,341 mi.","$16,510"
174,2013 Volkswagen Golf 2.0 TDI,"34,935 mi.","$12,625"
175,2015 Volkswagen Golf TSI S,"67,447 mi.","$8,588"
176,2015 Volkswagen Golf Auto TSI SEL,"26,628 mi.","$12,997"
177,2016 Volkswagen Golf TSI S 4-Door,"47,756 mi.","$12,799"
178,2012 Volkswagen Golf TDI,"57,529 mi.","$10,991"
179,2015 Volkswagen Golf TSI S 4-Door,"42,751 mi.","$11,500"
180,2016 Volkswagen Golf TSI S 4-Door,"16,719 mi.","$14,824"
181,2015 Volkswagen Golf DSG TDI SEL,"14,321 mi.","$18,995"
182,2015 Volkswagen Golf Auto TSI S w/Sunroof,"46,175 mi.","$13,495"
183,2018 Volkswagen Golf TSI S,"18,784 mi.","$20,900"
184,2012 Volkswagen Golf 2.5L,"72,202 mi.","$8,888"
185,2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,"19,471 mi.","$18,085"
186,2018 Volkswagen Golf TSI SE,"3,496 mi.","$19,981"
187,2015 Volkswagen Golf Auto TSI SEL,"21,663 mi.","$15,795"
188,2010 Volkswagen Golf 2-Door,"55,175 mi.","$7,995"
189,2013 Volkswagen Golf 2.0 TDI,"24,725 mi.","$13,495"
190,2011 Volkswagen Golf TDI,"50,867 mi.","$8,690"
191,2015 Volkswagen Golf 2.5L,"13,940 mi.","$13,995"
192,2014 Volkswagen Golf TDI,"51,100 mi.","$9,950"
193,2016 Volkswagen Golf TSI SEL 4-Door,"53,566 mi.","$12,999"
194,2015 Volkswagen Golf DSG TDI S,"39,706 mi.","$13,980"
195,2015 Volkswagen Golf TDI S 4-Door,"24,680 mi.","$14,977"
196,2013 Volkswagen Golf 2.0 TDI,"34,264 mi.","$11,987"
197,2016 Volkswagen Golf TSI 2-Door,"22,036 mi.","$15,555"
198,2015 Volkswagen Golf TSI SE 4-Door,"19,437 mi.","$16,049"
199,2014 Volkswagen Golf TDI w/Sunroof & Nav,"20,106 mi.","$12,900"
200,2016 Volkswagen Golf TSI S,"41,302 mi.","$12,999"
201,2016 Volkswagen Golf TSI SE 4-Door,"59,038 mi.","$13,991"
202,2016 Volkswagen Golf TSI SE 4-Door,"27,377 mi.","$14,991"
203,2013 Volkswagen Golf TDI,"31,167 mi.","$11,995"
204,2016 Volkswagen Golf TSI SEL 4-Door,"38,997 mi.","$16,599"
205,2016 Volkswagen Golf TSI SE 4-Door,"11,728 mi.","$18,641"
206,2016 Volkswagen Golf TSI SE 4-Door,"35,718 mi.","$17,888"
207,2016 Volkswagen Golf TSI SE 4-Door,"35,528 mi.","$17,988"
208,2015 Volkswagen Golf Auto TSI S w/Sunroof,"66,900 mi.","$10,995"
209,2015 Volkswagen Golf TDI SE 4-Door,"24,516 mi.","$16,787"
210,2016 Volkswagen Golf TSI SE 4-Door,"33,680 mi.","$16,486"
211,2012 Volkswagen Golf TDI,"35,984 mi.","$11,995"
212,2013 Volkswagen Golf TDI,"63,426 mi.","$11,295"
213,2012 Volkswagen Golf 2.5L,"55,007 mi.","$9,995"
214,2011 Volkswagen Golf TDI,"78,237 mi.","$9,800"
215,2011 Volkswagen Golf TDI,"58,100 mi.","$10,388"
216,2016 Volkswagen Golf TSI SE 4-Door,"17,461 mi.","$15,990"
217,2016 Volkswagen Golf TSI SE 4-Door,"55,858 mi.","$14,450"
218,2012 Volkswagen Golf TDI,"55,585 mi.","$11,399"
219,2016 Volkswagen Golf TSI SE 4-Door,"13,402 mi.","$15,995"
220,2016 Volkswagen Golf TSI SE 4-Door,"12,858 mi.","$15,995"
221,2015 Volkswagen Golf DSG TDI SE,"24,991 mi.","$15,995"
222,2015 Volkswagen Golf Auto TSI SE,"38,306 mi.","$14,987"
223,2014 Volkswagen Golf 2.5L,"97,509 mi.","$7,995"
224,2016 Volkswagen Golf TSI S w/Sunroof,"18,538 mi.","$14,591"
225,2015 Volkswagen Golf TDI SE 4-Door,"32,525 mi.","$14,970"
226,2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,"20,017 mi.","$17,900"
227,2016 Volkswagen Golf TSI SE 4-Door,"37,276 mi.","$15,325"
228,2012 Volkswagen Golf TDI,"53,419 mi.","$11,495"
229,2011 Volkswagen Golf TDI,"75,963 mi.","$10,475"
230,2012 Volkswagen Golf TDI,"55,513 mi.","$9,879"
231,2014 Volkswagen Golf TDI,"79,005 mi.","$10,977"
232,2015 Volkswagen Golf TSI S 2-Door,"23,298 mi.","$12,605"
233,2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,"48,691 mi.","$13,920"
234,2011 Volkswagen Golf TDI,"64,425 mi.","$9,998"
235,2015 Volkswagen Golf DSG TDI SE,"108,307 mi.","$9,799"
236,2015 Volkswagen Golf Auto TSI SE,"43,332 mi.","$14,907"
237,2014 Volkswagen Golf 2.5L,"21,150 mi.","$13,588"
238,2015 Volkswagen Golf TDI SEL 4-Door,"30,361 mi.","$18,466"
239,2015 Volkswagen Golf TDI SEL 4-Door,"38,708 mi.","$17,764"
240,2017 Volkswagen Golf TSI Wolfsburg Edition 4-Door,"14,562 mi.","$16,994"
241,2017 Volkswagen Golf Wolfsburg Edition,"3,128 mi.","$17,145"
242,2013 Volkswagen Golf TDI,"50,000 mi.","$11,900"
243,2013 Volkswagen Golf 2.0 TDI,"40,690 mi.","$10,494"
244,2017 Volkswagen Golf TSI S 4-Door,"30,289 mi.","$14,367"
245,2014 Volkswagen Golf TDI,"30,999 mi.","$13,358"
246,2017 Volkswagen Golf S,"30,289 mi.","$14,367"
247,2018 Volkswagen Golf TSI S,5 mi.,"$19,694"
248,2011 Volkswagen Golf TDI,"61,823 mi.","$10,910"
249,2015 Volkswagen Golf TDI S 4-Door,"20,897 mi.","$14,650"
250,2017 Volkswagen Golf Wolfsburg Edition,"16,635 mi.","$17,941"
251,2012 Volkswagen Golf TDI,"99,104 mi.","$7,999"
252,2013 Volkswagen Golf 2.0 TDI,"33,551 mi.","$11,449"
253,2014 Volkswagen Golf TDI,"33,657 mi.","$12,330"
254,2015 Volkswagen Golf TDI SEL 4-Door,"43,319 mi.","$20,900"
255,2013 Volkswagen Golf 2.0 TDI,"48,796 mi.","$12,700"
256,2014 Volkswagen Golf TDI,"27,247 mi.","$14,161"
257,2013 Volkswagen Golf TDI w/Sunroof & Nav,"46,878 mi.","$12,823"
258,2012 Volkswagen Golf TDI w/Sunroof & Nav,"66,129 mi.","$11,995"
259,2011 Volkswagen Golf TDI,"41,106 mi.","$9,899"
260,2012 Volkswagen Golf TDI,"40,235 mi.","$12,998"
261,2014 Volkswagen Golf TDI,"54,653 mi.","$10,970"
262,2013 Volkswagen Golf 2.0 TDI,"28,897 mi.","$13,988"
263,2018 Volkswagen Golf TSI SE,"4,953 mi.","$24,994"
264,2015 Volkswagen Golf TDI S 4-Door,"28,968 mi.","$15,000"
265,2014 Volkswagen Golf TDI,"23,445 mi.","$13,431"
266,2016 Volkswagen Golf TSI S 4-Door,"41,476 mi.","$13,596"
267,2016 Volkswagen Golf TSI S 4-Door,"11,482 mi.","$16,000"
268,2003 Volkswagen Golf GLS TDI,"187,796 mi.","$3,500"
269,2016 Volkswagen Golf TSI 2-Door,"19,635 mi.","$16,783"
270,2011 Volkswagen Golf TDI,"38,157 mi.","$9,750"
271,2013 Volkswagen Golf 2.0 TDI,"36,140 mi.","$12,855"
272,2014 Volkswagen Golf TDI,"21,234 mi.","$14,000"
273,2015 Volkswagen Golf TDI S 4-Door,"19,672 mi.","$14,539"
274,2015 Volkswagen Golf TDI SEL 4-Door,"42,318 mi.","$15,800"
275,2016 Volkswagen Golf TSI S 2-Door,"28,556 mi.","$12,693"
276,2015 Volkswagen Golf Launch Edition,"96,284 mi.","$8,450"
277,2014 Volkswagen Golf 2.5L,"26,258 mi.","$13,400"
278,2015 Volkswagen Golf TDI S 4-Door,"55,766 mi.","$11,300"
279,2016 Volkswagen Golf TSI 2-Door,"30,771 mi.","$13,717"
280,2016 Volkswagen Golf 1.8T TSI 2-Door,"30,771 mi.","$13,717"
281,2017 Volkswagen Golf TSI S 4-Door,"8,388 mi.","$16,000"
282,2015 Volkswagen Golf TSI S 2-Door,"29,850 mi.","$12,990"
283,2012 Volkswagen Golf TDI,"84,954 mi.","$9,766"
284,2012 Volkswagen Golf TDI,"74,691 mi.","$10,585"
285,2011 Volkswagen Golf TDI,"46,756 mi.","$9,990"
286,2012 Volkswagen Golf TDI,"61,465 mi.","$8,995"
287,2012 Volkswagen Golf TDI,"78,762 mi.","$10,500"
288,2015 Volkswagen Golf 2.5L,"25,700 mi.","$10,995"
289,2014 Volkswagen Golf w/Conv & Sunroof,"46,954 mi.","$12,869"
290,2015 Volkswagen Golf TDI S 4-Door,"36,543 mi.","$15,495"
291,2015 Volkswagen Golf TDI S 4-Door,"21,386 mi.","$14,977"
292,2015 Volkswagen Golf TDI S 4-Door,"33,418 mi.","$14,977"
293,2015 Volkswagen Golf DSG TDI SE,"23,634 mi.","$15,389"
294,2012 Volkswagen Golf TDI,"36,855 mi.","$11,485"
295,2017 Volkswagen Golf TSI SEL 4-Door,"14,552 mi.","$18,829"
296,2015 Volkswagen Golf TSI S 2-Door,"30,631 mi.","$13,949"
