,Name,Mileage,Price
0,2011 Volkswagen Jetta SportWagen TDI,"49,362 mi.","$10,450"
1,2012 Volkswagen Jetta SportWagen TDI,"52,005 mi.","$9,988"
2,2013 Volkswagen Jetta SportWagen TDI,"46,091 mi.","$10,552"
3,2013 Volkswagen Jetta SportWagen TDI,"38,677 mi.","$10,640"
4,2013 Volkswagen Jetta SportWagen TDI,"36,369 mi.","$10,994"
5,2013 Volkswagen Jetta SportWagen TDI,"32,385 mi.","$10,994"
6,2012 Volkswagen Jetta SportWagen SE,"78,350 mi.","$8,990"
7,2013 Volkswagen Jetta SportWagen TDI,"16,740 mi.","$15,901"
8,2011 Volkswagen Jetta SportWagen TDI,"45,496 mi.","$10,991"
9,2014 Volkswagen Jetta SportWagen TDI,"76,711 mi.","$9,988"
10,2012 Volkswagen Jetta SportWagen TDI,"42,310 mi.","$10,846"
11,2013 Volkswagen Jetta SportWagen TDI,"86,087 mi.","$9,500"
12,2011 Volkswagen Jetta SportWagen TDI,"60,541 mi.","$7,999"
13,2012 Volkswagen Jetta SportWagen TDI,"62,834 mi.","$9,499"
14,2013 Volkswagen Jetta SportWagen TDI,"98,710 mi.","$8,991"
15,2014 Volkswagen Jetta SportWagen TDI,"22,677 mi.","$12,999"
16,2014 Volkswagen Jetta SportWagen DSG TDI,"87,268 mi.","$9,476"
17,2011 Volkswagen Jetta SportWagen TDI,"66,303 mi.","$10,888"
18,2012 Volkswagen Jetta SportWagen TDI,"56,534 mi.","$9,970"
19,2014 Volkswagen Jetta SportWagen TDI,"49,954 mi.","$12,470"
20,2014 Volkswagen Jetta SportWagen TDI,"25,869 mi.","$14,670"
21,2013 Volkswagen Jetta SportWagen TDI,"47,126 mi.","$11,991"
22,2013 Volkswagen Jetta SportWagen TDI,"19,393 mi.","$12,988"
23,2014 Volkswagen Jetta SportWagen Manual TDI w/Sunroof,"41,431 mi.","$14,998"
24,2013 Volkswagen Jetta SportWagen TDI,"50,256 mi.","$12,018"
25,2014 Volkswagen Jetta SportWagen DSG TDI,"34,462 mi.","$12,596"
26,2012 Volkswagen Jetta SportWagen TDI,"32,426 mi.","$11,998"
27,2013 Volkswagen Jetta SportWagen TDI,"37,128 mi.","$10,998"
28,2011 Volkswagen Jetta SportWagen TDI,"42,516 mi.","$10,728"
29,2014 Volkswagen Jetta SportWagen Manual TDI w/Sunroof,"45,574 mi.","$13,750"
30,2012 Volkswagen Jetta SportWagen TDI,"58,834 mi.","$10,000"
31,2013 Volkswagen Jetta SportWagen TDI,"27,610 mi.","$11,656"
32,2011 Volkswagen Jetta SportWagen TDI,"128,964 mi.","$7,999"
33,2013 Volkswagen Jetta SportWagen TDI,"42,131 mi.","$12,695"
34,2013 Volkswagen Jetta SportWagen TDI,"56,531 mi.","$10,975"
35,2014 Volkswagen Jetta SportWagen DSG TDI,"35,144 mi.","$13,475"
36,2011 Volkswagen Jetta SportWagen TDI,"51,624 mi.","$9,995"
37,2012 Volkswagen Jetta SportWagen TDI,"61,370 mi.","$10,767"
38,2014 Volkswagen Jetta SportWagen Manual TDI w/Sunroof,"34,868 mi.","$13,530"
