,Name,Mileage,Price
0,2015 Volkswagen Jetta 1.8T SE,"59,414 mi.","$8,995"
1,2013 Volkswagen Jetta TDI,"71,291 mi.","$9,423"
2,2016 Volkswagen Jetta 1.4T S,"80,953 mi.","$8,690"
3,2011 Volkswagen Jetta SE,"65,065 mi.","$7,900"
4,2016 Volkswagen Jetta 1.8T Sport,"53,560 mi.","$13,995"
5,2017 Volkswagen Jetta 1.4T S,"18,527 mi.","$13,595"
6,2014 Volkswagen Jetta S,"86,791 mi.","$8,291"
7,2015 Volkswagen Jetta 2.0T GLI SEL,"26,354 mi.","$17,976"
8,2016 Volkswagen Jetta 1.8T Sport,"26,192 mi.","$13,948"
9,2013 Volkswagen Jetta TDI,"56,652 mi.","$8,998"
10,2013 Volkswagen Jetta SE,"53,741 mi.","$8,997"
11,2015 Volkswagen Jetta Auto S w/Technology,"48,318 mi.","$10,499"
12,2017 Volkswagen Jetta 1.4T SE,"18,232 mi.","$15,300"
13,2019 Volkswagen Jetta 1.4T R-Line,200 mi.,"$19,858"
14,2014 Volkswagen Jetta S,"57,217 mi.","$9,791"
15,2019 Volkswagen Jetta 1.4T SEL,"7,377 mi.","$22,500"
16,2019 Volkswagen Jetta 1.4T S,"3,544 mi.","$17,000"
17,2018 Volkswagen Jetta 1.4T Wolfsburg Edition,"8,591 mi.","$18,000"
18,2017 Volkswagen Jetta 1.4T S,"12,544 mi.","$12,552"
19,2015 Volkswagen Jetta 1.8T SE,"30,913 mi.","$12,688"
20,2015 Volkswagen Jetta Auto SE w/Connectivity,"89,599 mi.","$14,577"
21,2016 Volkswagen Jetta 1.4T S,"34,881 mi.","$8,999"
22,2013 Volkswagen Jetta SE,"101,329 mi.","$7,995"
23,2012 Volkswagen Jetta S,"78,241 mi.","$7,888"
24,2013 Volkswagen Jetta 2.0L TDI SEL,"47,158 mi.","$11,888"
25,2011 Volkswagen Jetta 2.0L TDI SEL,"88,158 mi.","$8,999"
26,2014 Volkswagen Jetta S,"28,494 mi.","$10,995"
27,2016 Volkswagen Jetta 1.4T S,"34,881 mi.","$8,999"
28,2014 Volkswagen Jetta TDI Value Edition,"128,000 mi.","$7,499"
29,2015 Volkswagen Jetta 2.0L TDI SEL,"26,020 mi.","$15,988"
30,2013 Volkswagen Jetta TDI,"57,975 mi.","$9,999"
31,2015 Volkswagen Jetta 2.0L S,"21,490 mi.","$13,146"
32,2015 Volkswagen Jetta Man TDI S,"29,057 mi.","$12,475"
33,2009 Volkswagen Jetta TDI,"117,889 mi.","$6,939"
34,2009 Volkswagen Jetta 2.0 SEL SportWagen,"90,974 mi.","$7,622"
35,2017 Volkswagen Jetta 1.4T SE,"11,780 mi.","$15,495"
36,2014 Volkswagen Jetta Auto S,"35,195 mi.","$9,423"
37,2014 Volkswagen Jetta S,"48,795 mi.","$8,741"
38,2014 Volkswagen Jetta S,"13,586 mi.","$9,991"
39,2017 Volkswagen Jetta 1.4T S,"31,091 mi.","$11,880"
40,2015 Volkswagen Jetta S w/Technology,"51,036 mi.","$10,879"
41,2013 Volkswagen Jetta Base,"70,515 mi.","$7,504"
42,2014 Volkswagen Jetta Auto SE w/Connectivity,"14,432 mi.","$10,990"
43,2017 Volkswagen Jetta 1.4T SE,"21,189 mi.","$15,290"
44,2016 Volkswagen Jetta 1.4T S,"34,881 mi.","$8,999"
45,2014 Volkswagen Jetta S,"54,729 mi.","$8,990"
46,2016 Volkswagen Jetta 1.4T S,"7,875 mi.","$13,750"
47,2016 Volkswagen Jetta 1.8T Sport,"52,550 mi.","$12,850"
48,2017 Volkswagen Jetta GLI,"27,998 mi.","$21,400"
49,2014 Volkswagen Jetta TDI,"29,944 mi.","$12,473"
50,2015 Volkswagen Jetta Man TDI S,"27,143 mi.","$9,999"
51,2011 Volkswagen Jetta S,"51,512 mi.","$7,500"
52,2015 Volkswagen Jetta 2.0L S,"17,737 mi.","$11,614"
53,2016 Volkswagen Jetta 1.4T S,"59,585 mi.","$9,500"
54,2014 Volkswagen Jetta DSG TDI w/Premium/Nav,"33,997 mi.","$11,988"
55,2013 Volkswagen Jetta TDI,"49,601 mi.","$11,500"
56,2015 Volkswagen Jetta 2.0L S,"61,856 mi.","$9,993"
57,2016 Volkswagen Jetta 1.4T S,"24,435 mi.","$11,499"
58,2016 Volkswagen Jetta 1.4T S,"81,142 mi.","$7,666"
59,2008 Volkswagen Jetta SE,"184,472 mi.","$3,980"
60,2016 Volkswagen Jetta 1.8T Sport,"24,766 mi.","$13,986"
61,2014 Volkswagen Jetta SE w/Connectivity,"66,757 mi.","$7,995"
62,2012 Volkswagen Jetta TDI,"60,923 mi.","$11,999"
63,2016 Volkswagen Jetta 1.4T S,"34,881 mi.","$8,999"
64,2016 Volkswagen Jetta 1.4T S,"58,641 mi.","$8,990"
65,2017 Volkswagen Jetta 1.8T SEL,"15,245 mi.","$13,499"
66,2017 Volkswagen Jetta 1.8T Sport,"18,829 mi.","$16,875"
67,2017 Volkswagen Jetta 1.4T SE,"22,300 mi.","$12,695"
68,2016 Volkswagen Jetta 1.4T S,"61,366 mi.","$9,900"
69,2016 Volkswagen Jetta 1.4T S,"12,194 mi.","$12,900"
70,2016 Volkswagen Jetta 2.0T GLI SE,"30,055 mi.","$20,750"
71,2016 Volkswagen Jetta 1.4T S,"34,881 mi.","$8,999"
72,2015 Volkswagen Jetta Auto S w/Technology,"36,183 mi.","$10,495"
73,2015 Volkswagen Jetta Auto S w/Technology,"36,125 mi.","$10,495"
74,2016 Volkswagen Jetta 1.4T S w/ Technology,"36,073 mi.","$11,695"
75,2016 Volkswagen Jetta 1.4T S,"29,054 mi.","$11,881"
76,2016 Volkswagen Jetta 1.4T S,"34,881 mi.","$8,999"
77,2014 Volkswagen Jetta GLI,"69,067 mi.","$11,504"
78,2011 Volkswagen Jetta SEL,"65,232 mi.","$8,659"
79,2015 Volkswagen Jetta Auto SEL,"12,858 mi.","$14,937"
80,2016 Volkswagen Jetta 1.8T Sport,"38,749 mi.","$15,888"
81,2016 Volkswagen Jetta 1.8T Sport,"26,862 mi.","$15,995"
82,2016 Volkswagen Jetta 2.0T GLI SE,"15,130 mi.","$17,995"
83,2011 Volkswagen Jetta S,"64,581 mi.","$7,995"
84,2019 Volkswagen Jetta 1.4T S,"12,792 mi.","$17,495"
85,2015 Volkswagen Jetta Base,"27,806 mi.","$9,649"
86,2014 Volkswagen Jetta 2.0 TDI Value Edition,"38,115 mi.","$11,980"
87,2008 Volkswagen Jetta SE,"100,125 mi.","$4,995"
88,2016 Volkswagen Jetta 1.4T SE,"28,927 mi.","$13,988"
89,2017 Volkswagen Jetta 1.8T SEL,"7,810 mi.","$18,444"
90,2017 Volkswagen Jetta GLI,"24,042 mi.","$20,744"
91,2017 Volkswagen Jetta GLI,"19,857 mi.","$21,495"
92,2016 Volkswagen Jetta 1.8T Sport,"14,046 mi.","$15,944"
93,2012 Volkswagen Jetta SE,"60,338 mi.","$8,820"
94,2016 Volkswagen Jetta 2.0T GLI SE,"22,620 mi.","$18,240"
95,2016 Volkswagen Jetta 1.8T Sport,"21,420 mi.","$14,598"
96,2014 Volkswagen Jetta Auto SE,"90,380 mi.","$7,777"
97,2015 Volkswagen Jetta DSG TDI S,"23,496 mi.","$10,995"
98,2014 Volkswagen Jetta DSG TDI w/Premium,"35,905 mi.","$11,995"
99,2012 Volkswagen Jetta TDI,"60,123 mi.","$8,995"
100,2014 Volkswagen Jetta Auto SE,"100,191 mi.","$6,999"
101,2012 Volkswagen Jetta TDI,"49,347 mi.","$10,387"
102,2013 Volkswagen Jetta S,"62,527 mi.","$8,937"
103,2011 Volkswagen Jetta S,"87,247 mi.","$6,981"
104,2016 Volkswagen Jetta 1.4T S,"30,939 mi.","$10,900"
105,2016 Volkswagen Jetta 1.8T Sport,"30,149 mi.","$13,495"
106,2014 Volkswagen Jetta Auto S,"20,486 mi.","$10,750"
107,2017 Volkswagen Jetta 1.4T S,"13,644 mi.","$12,491"
108,2013 Volkswagen Jetta TDI,"43,996 mi.","$10,995"
109,2015 Volkswagen Jetta Auto S w/Technology,"26,205 mi.","$12,819"
110,2014 Volkswagen Jetta TDI,"54,773 mi.","$11,000"
111,2014 Volkswagen Jetta TDI,"54,257 mi.","$10,200"
112,2018 Volkswagen Jetta 1.4T Wolfsburg Edition,"10,087 mi.","$16,500"
113,2015 Volkswagen Jetta 2.0L S,"43,039 mi.","$9,998"
114,2011 Volkswagen Jetta TDI LE,"62,718 mi.","$9,587"
115,2016 Volkswagen Jetta 1.4T S,"41,617 mi.","$11,690"
116,2016 Volkswagen Jetta 1.4T S,"25,142 mi.","$12,740"
117,2015 Volkswagen Jetta Man TDI S,"30,529 mi.","$12,670"
118,2015 Volkswagen Jetta 2.0L S,"53,300 mi.","$9,450"
119,2015 Volkswagen Jetta 1.8T SE,"57,840 mi.","$10,654"
120,2014 Volkswagen Jetta SE w/Connectivity/Sunroof PZEV,"71,964 mi.","$10,950"
121,2017 Volkswagen Jetta 1.4T S,"27,321 mi.","$12,802"
122,2016 Volkswagen Jetta 1.4T S w/Technology,"36,267 mi.","$11,600"
123,2014 Volkswagen Jetta Auto SE,"50,006 mi.","$9,277"
124,2014 Volkswagen Jetta SE,"87,943 mi.","$7,490"
125,2018 Volkswagen Jetta 1.4T Wolfsburg Edition,"10,029 mi.","$15,599"
126,2012 Volkswagen Jetta TDI,"60,228 mi.","$10,750"
127,2015 Volkswagen Jetta 2.0L TDI S,"57,624 mi.","$9,995"
128,2014 Volkswagen Jetta DSG TDI w/Premium/Nav,"64,651 mi.","$10,595"
129,2015 Volkswagen Jetta TDI S,"15,358 mi.","$13,900"
130,2017 Volkswagen Jetta 1.8T SEL,"15,245 mi.","$13,499"
131,2011 Volkswagen Jetta TDI,"72,000 mi.","$9,850"
132,2012 Volkswagen Jetta SE,"95,568 mi.","$6,800"
133,2015 Volkswagen Jetta TDI,"50,014 mi.","$12,195"
134,2019 Volkswagen Jetta 1.4T S,"6,073 mi.","$14,945"
135,2013 Volkswagen Jetta TDI,"59,379 mi.","$9,999"
136,2013 Volkswagen Jetta TDI,"45,997 mi.","$10,000"
137,2014 Volkswagen Jetta 2.0 TDI Value Edition,"29,904 mi.","$11,899"
138,2014 Volkswagen Jetta TDI,"29,421 mi.","$11,999"
139,2017 Volkswagen Jetta 1.4T S,"19,290 mi.","$13,500"
140,2013 Volkswagen Jetta TDI,"36,530 mi.","$7,499"
141,2014 Volkswagen Jetta Auto S,"29,000 mi.","$9,795"
142,2015 Volkswagen Jetta 2.0L TDI SEL,"26,017 mi.","$15,690"
143,2016 Volkswagen Jetta 1.8T Sport,"32,561 mi.","$12,795"
144,2009 Volkswagen Jetta S,"68,836 mi.","$5,995"
145,2016 Volkswagen Jetta 1.4T S,"36,713 mi.","$11,591"
146,2015 Volkswagen Jetta Auto SE w/Connectivity/Navigation,"43,916 mi.","$11,750"
147,2016 Volkswagen Jetta 1.4T SE,"46,820 mi.","$11,000"
148,2014 Volkswagen Jetta TDI,"46,793 mi.","$10,000"
149,2011 Volkswagen Jetta SE,"120,468 mi.","$6,238"
150,2017 Volkswagen Jetta 1.4T S,340 mi.,"$15,220"
151,2011 Volkswagen Jetta Base,"133,035 mi.","$5,340"
152,2014 Volkswagen Jetta S,"47,855 mi.","$7,500"
153,2008 Volkswagen Jetta SEL,"142,500 mi.","$4,800"
154,2013 Volkswagen Jetta SE,"79,969 mi.","$8,000"
155,2016 Volkswagen Jetta 1.4T S,"27,055 mi.","$10,950"
156,2017 Volkswagen Jetta 1.4T S,"42,921 mi.","$10,175"
157,2016 Volkswagen Jetta 1.8T Sport,"29,485 mi.","$11,999"
158,2014 Volkswagen Jetta TDI,"49,556 mi.","$11,710"
159,2015 Volkswagen Jetta 1.8T SE,"58,801 mi.","$11,750"
160,2016 Volkswagen Jetta 1.8T SEL,"47,394 mi.","$13,897"
161,2007 Volkswagen Jetta 2.5,"101,293 mi.","$4,999"
162,2014 Volkswagen Jetta 2.0 TDI Value Edition,10 mi.,"$14,111"
163,2015 Volkswagen Jetta 2.0L TDI S,"38,768 mi.","$11,359"
164,2015 Volkswagen Jetta Man TDI SE w/Connectivity,"16,040 mi.","$13,500"
165,2015 Volkswagen Jetta 2.0L S,"22,782 mi.","$9,495"
