,Name,Mileage,Price
0,2010 Volkswagen New Beetle Base PZEV 2dr Coupe 6A,"96,268 mi.","$7,988"
1,2004 Volkswagen New Beetle Turbo S,"99,859 mi.","$4,500"
2,2007 Volkswagen New Beetle Base,"81,424 mi.","$5,995"
3,2005 Volkswagen New Beetle GLS,"29,900 mi.","$7,950"
4,2010 Volkswagen New Beetle,"108,830 mi.","$6,500"
5,2007 Volkswagen New Beetle Base,"117,024 mi.","$5,997"
6,2009 Volkswagen New Beetle 2.5,"79,486 mi.","$5,175"
7,2009 Volkswagen New Beetle,"65,000 mi.","$10,000"
8,2005 Volkswagen New Beetle GLS,"121,000 mi.","$4,125"
9,2007 Volkswagen New Beetle Base,"93,712 mi.","$5,424"
10,2006 Volkswagen New Beetle 2.5,"102,974 mi.","$4,900"
11,2006 Volkswagen New Beetle TDI,"83,711 mi.","$7,990"
12,2002 Volkswagen New Beetle GLS,"39,781 mi.","$5,498"
13,2010 Volkswagen New Beetle 2dr Auto,"65,764 mi.","$9,595"
14,2002 Volkswagen New Beetle GLS TDI,"145,079 mi.","$3,995"
15,2004 Volkswagen New Beetle GLS,"74,457 mi.","$3,999"
16,2003 Volkswagen New Beetle GLX 1.8T,"87,878 mi.","$3,888"
17,2005 Volkswagen New Beetle GLS,"126,339 mi.","$3,988"
18,2004 Volkswagen New Beetle GLS,"121,780 mi.","$4,995"
19,2002 Volkswagen New Beetle GL,"98,022 mi.","$4,490"
20,2001 Volkswagen New Beetle Sport,"221,836 mi.","$2,595"
21,2006 Volkswagen New Beetle TDI,"207,094 mi.","$4,600"
22,2007 Volkswagen New Beetle Base,"111,165 mi.","$5,999"
23,2010 Volkswagen New Beetle 2dr Auto,"79,087 mi.","$7,950"
24,2010 Volkswagen New Beetle,"57,933 mi.","$7,488"
25,2004 Volkswagen New Beetle GLS,"118,050 mi.","$4,250"
26,2009 Volkswagen New Beetle S,"108,129 mi.","$5,999"
27,2007 Volkswagen New Beetle,"79,843 mi.","$4,391"
28,2010 Volkswagen New Beetle 2.5,"65,578 mi.","$9,998"
29,2003 Volkswagen New Beetle GLS 1.8T,"152,659 mi.","$4,650"
30,2002 Volkswagen New Beetle GL,"76,256 mi.","$4,988"
31,2007 Volkswagen New Beetle,"113,530 mi.","$4,888"
32,2005 Volkswagen New Beetle GLS 1.8T,"26,464 mi.","$7,675"
33,1999 Volkswagen New Beetle GLS,"77,257 mi.","$5,975"
34,2002 Volkswagen New Beetle GLS,"143,507 mi.","$2,995"
35,2003 Volkswagen New Beetle GL,"91,699 mi.","$3,999"
36,2006 Volkswagen New Beetle 2.5,"82,000 mi.","$7,990"
37,2008 Volkswagen New Beetle SE,"100,396 mi.","$4,495"
38,2009 Volkswagen New Beetle,"107,540 mi.","$7,500"
39,1999 Volkswagen New Beetle GLS,"136,738 mi.","$4,252"
40,2007 Volkswagen New Beetle Base,"63,163 mi.","$5,919"
41,2009 Volkswagen New Beetle S,"64,737 mi.","$7,850"
42,2007 Volkswagen New Beetle,"117,331 mi.","$3,995"
43,2008 Volkswagen New Beetle SE,"61,174 mi.","$7,945"
44,2008 Volkswagen New Beetle SE,"137,534 mi.","$4,980"
45,2008 Volkswagen New Beetle S,"96,171 mi.","$4,990"
46,2009 Volkswagen New Beetle 2.5,"82,594 mi.","$9,599"
47,2009 Volkswagen New Beetle S,"57,435 mi.","$6,985"
48,2010 Volkswagen New Beetle,"51,768 mi.","$9,750"
49,2003 Volkswagen New Beetle GLS,"129,145 mi.","$3,995"
50,2005 Volkswagen New Beetle GLS,"53,132 mi.","$5,499"
51,2005 Volkswagen New Beetle GL,"85,821 mi.","$6,333"
52,2006 Volkswagen New Beetle 2.5,"79,000 mi.","$6,850"
53,2009 Volkswagen New Beetle S,"113,422 mi.","$5,500"
54,2005 Volkswagen New Beetle GL,"93,325 mi.","$5,150"
55,2004 Volkswagen New Beetle GLS,"140,769 mi.","$2,995"
56,2006 Volkswagen New Beetle 2.5,"86,526 mi.","$5,997"
57,2007 Volkswagen New Beetle 2.5,"98,233 mi.","$4,997"
58,2009 Volkswagen New Beetle S,"97,395 mi.","$6,497"
59,2008 Volkswagen New Beetle S,"184,783 mi.","$4,700"
60,2007 Volkswagen New Beetle 2.5,"76,583 mi.","$5,650"
61,2008 Volkswagen New Beetle S,"42,205 mi.","$7,499"
62,2006 Volkswagen New Beetle 2.5,"106,838 mi.","$3,250"
63,2010 Volkswagen New Beetle,"106,562 mi.","$4,995"
64,2003 Volkswagen New Beetle Turbo S,"102,218 mi.","$5,200"
65,2009 Volkswagen New Beetle S,"60,666 mi.","$6,995"
66,2005 Volkswagen New Beetle GLS,"87,604 mi.","$4,995"
67,2004 Volkswagen New Beetle Satellite Blue,"102,379 mi.","$3,977"
68,2007 Volkswagen New Beetle Base,"114,770 mi.","$4,991"
69,2008 Volkswagen New Beetle SE,"109,040 mi.","$6,991"
70,2002 Volkswagen New Beetle GL,"79,293 mi.","$3,500"
71,2008 Volkswagen New Beetle S,"26,921 mi.","$8,988"
72,2010 Volkswagen New Beetle,"24,989 mi.","$8,500"
73,2009 Volkswagen New Beetle 2.5,"72,076 mi.","$6,500"
74,2010 Volkswagen New Beetle Base 2dr Coupe 6A,"86,965 mi.","$6,990"
75,2007 Volkswagen New Beetle Triple White,"69,551 mi.","$5,900"
76,2008 Volkswagen New Beetle S,"34,984 mi.","$8,888"
77,2008 Volkswagen New Beetle S,"143,000 mi.","$4,699"
78,2006 Volkswagen New Beetle 2.5,"139,692 mi.","$2,995"
79,2008 Volkswagen New Beetle SE,"106,142 mi.","$5,230"
80,2009 Volkswagen New Beetle S,"75,876 mi.","$6,995"
81,2001 Volkswagen New Beetle GLS,"56,545 mi.","$5,985"
82,2010 Volkswagen New Beetle,"95,949 mi.","$6,895"
83,2007 Volkswagen New Beetle Base,"128,031 mi.","$3,990"
84,2008 Volkswagen New Beetle SE,"71,400 mi.","$7,320"
85,2010 Volkswagen New Beetle Final Edition,"19,345 mi.","$12,877"
86,2007 Volkswagen New Beetle Base,"83,896 mi.","$5,990"
87,2010 Volkswagen New Beetle Final Edition,"66,271 mi.","$7,990"
88,2005 Volkswagen New Beetle GLS,"90,898 mi.","$5,499"
89,2009 Volkswagen New Beetle S,"94,000 mi.","$6,990"
90,2007 Volkswagen New Beetle 2.5,"94,844 mi.","$4,900"
91,2010 Volkswagen New Beetle 2dr Auto PZEV,"70,004 mi.","$6,999"
92,2002 Volkswagen New Beetle Turbo S,"158,669 mi.","$2,495"
93,2007 Volkswagen New Beetle,"86,753 mi.","$3,999"
94,2003 Volkswagen New Beetle GLX Turbo,"138,316 mi.","$2,999"
95,2009 Volkswagen New Beetle S,"110,768 mi.","$6,890"
96,2005 Volkswagen New Beetle GLS,"61,247 mi.","$6,450"
97,2003 Volkswagen New Beetle GL,"117,151 mi.","$2,999"
98,2005 Volkswagen New Beetle GLS,"118,150 mi.","$4,995"
99,2008 Volkswagen New Beetle S,"97,875 mi.","$8,995"
100,2008 Volkswagen New Beetle S,"81,375 mi.","$6,495"
101,2008 Volkswagen New Beetle S,"68,030 mi.","$5,995"
102,2009 Volkswagen New Beetle S,"71,868 mi.","$7,299"
103,2009 Volkswagen New Beetle 2.5,"63,913 mi.","$6,675"
104,2001 Volkswagen New Beetle GLS 1.8T,"156,989 mi.","$3,988"
105,2010 Volkswagen New Beetle 2dr Auto PZEV,"87,815 mi.","$7,995"
106,2006 Volkswagen New Beetle 2.5,"79,360 mi.","$6,991"
107,2007 Volkswagen New Beetle,"89,372 mi.","$6,583"
108,2005 Volkswagen New Beetle GL,"130,018 mi.","$3,995"
109,2005 Volkswagen New Beetle GLS,"127,306 mi.","$3,995"
110,2008 Volkswagen New Beetle S,"103,749 mi.","$6,999"
111,2002 Volkswagen New Beetle GL,"126,023 mi.","$4,290"
112,1998 Volkswagen New Beetle Base,"169,146 mi.","$2,695"
113,2009 Volkswagen New Beetle 2.5,"89,036 mi.","$6,995"
114,2008 Volkswagen New Beetle S,"42,993 mi.","$8,950"
115,2003 Volkswagen New Beetle GLS,"93,490 mi.","$4,950"
116,2005 Volkswagen New Beetle Dark Flint,"180,000 mi.","$5,995"
117,2001 Volkswagen New Beetle GL,"121,403 mi.","$3,950"
118,2006 Volkswagen New Beetle 2.5,"81,491 mi.","$5,495"
119,2009 Volkswagen New Beetle S,"110,705 mi.","$4,997"
120,2010 Volkswagen New Beetle S,"90,416 mi.","$8,995"
121,2006 Volkswagen New Beetle 2.5,"104,860 mi.","$3,895"
122,2004 Volkswagen New Beetle GLS,"151,298 mi.","$2,994"
123,2010 Volkswagen New Beetle 2dr Auto,"144,578 mi.","$3,950"
124,2008 Volkswagen New Beetle S,"58,607 mi.","$5,900"
125,2001 Volkswagen New Beetle GLS Turbo,"176,385 mi.","$2,495"
126,2004 Volkswagen New Beetle GLS,"104,592 mi.","$5,495"
127,1998 Volkswagen New Beetle Base,"115,977 mi.","$4,480"
