,Name,Mileage,Price
0,2008 Volkswagen R32 2dr HB *Ltd Avail*,"87,232 mi.","$13,991"
1,2008 Volkswagen R32,"94,583 mi.","$12,523"
2,2008 Volkswagen R32,"103,812 mi.","$10,495"
3,2008 Volkswagen R32,"122,297 mi.","$10,745"
4,2008 Volkswagen R32 2dr HB *Ltd Avail*,"31,133 mi.","$17,495"
5,2008 Volkswagen R32 2dr HB *Ltd Avail*,"92,729 mi.","$13,700"
6,2008 Volkswagen R32 2dr HB *Ltd Avail*,"98,490 mi.","$12,999"
7,2008 Volkswagen R32,"92,522 mi.","$13,487"
8,2008 Volkswagen R32 2dr HB *Ltd Avail*,"100,640 mi.","$12,736"
9,2008 Volkswagen R32 2dr HB *Ltd Avail*,"106,985 mi.","$11,999"
10,2008 Volkswagen R32 2dr HB *Ltd Avail*,"152,845 mi.","$11,850"
11,2008 Volkswagen R32 2dr HB *Ltd Avail*,"133,183 mi.","$8,999"
12,2008 Volkswagen R32 2dr HB *Ltd Avail*,"121,266 mi.","$9,895"
13,2008 Volkswagen R32,"113,976 mi.","$11,299"
14,2008 Volkswagen R32 Base,"92,627 mi.","$11,994"
15,2008 Volkswagen R32,"105,122 mi.","$11,990"
16,2008 Volkswagen R32 2dr HB *Ltd Avail*,"121,547 mi.","$9,998"
17,2008 Volkswagen R32 2dr HB *Ltd Avail*,"119,662 mi.","$9,989"
18,2008 Volkswagen R32 2dr HB *Ltd Avail*,"94,824 mi.","$11,999"
19,2008 Volkswagen R32 2dr HB *Ltd Avail*,"98,776 mi.","$11,995"
20,2008 Volkswagen R32,"86,620 mi.","$12,995"
21,2008 Volkswagen R32,"81,246 mi.","$12,500"
22,2008 Volkswagen R32 2dr HB *Ltd Avail*,"125,589 mi.","$13,995"
23,2008 Volkswagen R32,"109,131 mi.","$11,500"
24,2008 Volkswagen R32 2dr HB *Ltd Avail*,"114,554 mi.","$9,995"
25,2008 Volkswagen R32 Base,"103,377 mi.","$8,587"
26,2004 Volkswagen R32 2dr HB 6-spd Manual,"116,696 mi.","$12,999"
27,2008 Volkswagen R32 2dr HB *Ltd Avail*,"109,159 mi.","$10,898"
28,2008 Volkswagen R32 2dr HB *Ltd Avail*,"150,072 mi.","$7,750"
29,2008 Volkswagen R32,"60,248 mi.","$15,082"
30,2008 Volkswagen R32,"94,751 mi.","$10,995"
31,2008 Volkswagen R32 2dr HB *Ltd Avail*,"128,433 mi.","$9,999"
32,2008 Volkswagen R32 2dr HB *Ltd Avail*,"66,868 mi.","$14,495"
33,2008 Volkswagen R32 2dr HB *Ltd Avail*,"54,281 mi.","$16,995"
34,2004 Volkswagen R32,"87,531 mi.","$17,795"
35,2008 Volkswagen R32 2dr HB *Ltd Avail*,"78,326 mi.","$13,975"
36,2004 Volkswagen R32,"62,303 mi.","$17,595"
37,2008 Volkswagen R32,"114,794 mi.","$10,500"
38,2004 Volkswagen R32,"99,800 mi.","$10,500"
39,2008 Volkswagen R32,"121,000 mi.","$7,999"
40,2008 Volkswagen R32,"68,322 mi.","$14,000"
41,2008 Volkswagen R32,"142,000 mi.","$9,000"
42,2008 Volkswagen R32,"91,800 mi.","$12,500"
43,2008 Volkswagen R32,"51,650 mi.","$18,000"
44,2008 Volkswagen R32,,"$9,988"
45,2008 Volkswagen R32 2dr HB *Ltd Avail*,"107,951 mi.","$11,995"
46,2008 Volkswagen R32,"114,448 mi.",Not Priced
47,2008 Volkswagen R32,"92,470 mi.","$13,995"
48,2008 Volkswagen R32,"131,743 mi.",Not Priced
49,2008 Volkswagen R32 2dr HB *Ltd Avail*,"137,445 mi.",Not Priced
