,Name,Mileage,Price
0,2017 Volkswagen Tiguan Limited 2.0T,"18,719 mi.","$16,991"
1,2017 Volkswagen Tiguan Limited 2.0T,"18,719 mi.","$16,991"
2,2018 Volkswagen Tiguan Limited,"1,344 mi.","$18,995"
3,2017 Volkswagen Tiguan Limited 2.0T,"10,004 mi.","$20,995"
4,2017 Volkswagen Tiguan Limited 2.0T,"11,485 mi.","$19,995"
5,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"10,202 mi.","$19,839"
6,2018 Volkswagen Tiguan Limited 2.0T,"2,822 mi.","$17,900"
7,2017 Volkswagen Tiguan Limited 2.0T,"15,111 mi.","$16,989"
8,2017 Volkswagen Tiguan Limited S,"5,478 mi.","$19,401"
9,2017 Volkswagen Tiguan Limited S,"5,108 mi.","$19,401"
10,2017 Volkswagen Tiguan Limited 2.0T,"11,765 mi.","$18,517"
11,2017 Volkswagen Tiguan Limited 2.0T,"18,179 mi.","$17,888"
12,2017 Volkswagen Tiguan Limited 2.0T,"18,312 mi.","$18,647"
13,2017 Volkswagen Tiguan Limited,"12,122 mi.","$16,922"
14,2017 Volkswagen Tiguan Limited 2.0T,"10,540 mi.","$18,900"
15,2018 Volkswagen Tiguan Limited 2.0T,"3,061 mi.","$18,900"
16,2017 Volkswagen Tiguan Limited 2.0T S,"26,477 mi.","$14,949"
17,2017 Volkswagen Tiguan Limited 2.0T,"10,617 mi.","$15,889"
18,2017 Volkswagen Tiguan Limited 2.0T,"10,089 mi.","$16,939"
19,2017 Volkswagen Tiguan Limited 2.0T,"11,240 mi.","$18,500"
20,2017 Volkswagen Tiguan Limited 2.0T,"29,332 mi.","$17,900"
21,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
22,2018 Volkswagen Tiguan Limited 2.0T,"2,886 mi.","$19,625"
23,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
24,2017 Volkswagen Tiguan Limited 2.0T,"9,936 mi.","$17,475"
25,2017 Volkswagen Tiguan Limited 2.0T,"10,151 mi.","$18,975"
26,2017 Volkswagen Tiguan Limited 2.0T,"13,169 mi.","$17,875"
27,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"3,393 mi.","$20,800"
28,2017 Volkswagen Tiguan Limited 2.0T S,"29,971 mi.","$17,999"
29,2017 Volkswagen Tiguan Limited 2.0T S,"6,088 mi.","$17,998"
30,2017 Volkswagen Tiguan Limited 2.0T,"4,637 mi.","$19,795"
31,2017 Volkswagen Tiguan Limited 2.0T S,"20,425 mi.","$17,317"
32,2018 Volkswagen Tiguan Limited 2.0T,"4,197 mi.","$32,000"
33,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"5,161 mi.","$20,999"
34,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"4,276 mi.","$20,999"
35,2017 Volkswagen Tiguan Limited 2.0T,"9,965 mi.","$17,400"
36,2017 Volkswagen Tiguan Limited 2.0T,"9,492 mi.","$15,995"
37,2018 Volkswagen Tiguan Limited 2.0T,"2,886 mi.","$19,625"
38,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
39,2017 Volkswagen Tiguan Limited 2.0T,"10,823 mi.","$17,200"
40,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
41,2018 Volkswagen Tiguan Limited 2.0T,"5,769 mi.","$18,492"
42,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"5,248 mi.","$18,992"
43,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"6,532 mi.","$19,482"
44,2017 Volkswagen Tiguan Limited 2.0T,"10,540 mi.","$18,900"
45,2017 Volkswagen Tiguan Limited 2.0T,"10,540 mi.","$18,900"
46,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
47,2017 Volkswagen Tiguan Limited 2.0T,"7,353 mi.","$15,236"
48,2017 Volkswagen Tiguan Limited 2.0T,"13,541 mi.","$17,100"
49,2017 Volkswagen Tiguan Limited 2.0T,"12,215 mi.","$19,600"
50,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
51,2018 Volkswagen Tiguan Limited 2.0T,"2,886 mi.","$19,625"
52,2017 Volkswagen Tiguan Limited 2.0T,"10,540 mi.","$18,900"
53,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"6,292 mi.","$21,180"
54,2017 Volkswagen Tiguan Limited 2.0T,"9,579 mi.","$19,500"
55,2017 Volkswagen Tiguan Limited 2.0T,"15,549 mi.","$16,500"
56,2017 Volkswagen Tiguan Limited 2.0T S,"8,597 mi.","$15,988"
57,2017 Volkswagen Tiguan Limited 2.0T S,"10,690 mi.","$15,941"
58,2018 Volkswagen Tiguan Limited 2.0T,"5,645 mi.","$19,968"
59,2017 Volkswagen Tiguan Limited 2.0T,"9,579 mi.","$17,995"
60,2017 Volkswagen Tiguan Limited 2.0T,"41,258 mi.","$14,988"
61,2017 Volkswagen Tiguan Limited 2.0T S,"9,045 mi.","$19,590"
62,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
63,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
64,2017 Volkswagen Tiguan Limited 2.0T,"10,540 mi.","$18,900"
65,2018 Volkswagen Tiguan Limited 2.0T,"7,187 mi.","$18,899"
66,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
67,2017 Volkswagen Tiguan Limited 2.0T,"10,033 mi.","$16,903"
68,2017 Volkswagen Tiguan Limited 2.0T,"2,905 mi.","$21,000"
69,2018 Volkswagen Tiguan Limited 2.0T,"2,645 mi.","$19,076"
70,2017 Volkswagen Tiguan Limited 2.0T,"14,346 mi.","$14,999"
71,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"8,104 mi.","$19,495"
72,2017 Volkswagen Tiguan Limited 2.0T,"7,038 mi.","$16,419"
73,2017 Volkswagen Tiguan Limited 2.0T,"12,946 mi.","$16,998"
74,2018 Volkswagen Tiguan Limited 2.0T,"11,909 mi.","$17,600"
75,2018 Volkswagen Tiguan Limited 2.0T,"2,886 mi.","$19,625"
76,2017 Volkswagen Tiguan Limited 2.0T,"13,541 mi.","$17,100"
77,2017 Volkswagen Tiguan Limited 2.0T,"4,601 mi.","$18,500"
78,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
79,2017 Volkswagen Tiguan Limited 2.0T,"8,237 mi.","$17,888"
80,2017 Volkswagen Tiguan Limited 2.0T,"10,540 mi.","$18,900"
81,2017 Volkswagen Tiguan Limited 4Motion,"10,575 mi.","$19,000"
82,2017 Volkswagen Tiguan Limited S,"6,143 mi.","$18,990"
83,2017 Volkswagen Tiguan Limited,"5,788 mi.","$19,050"
84,2017 Volkswagen Tiguan Limited 2.0T,"4,392 mi.","$18,997"
85,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"6,434 mi.","$21,233"
86,2017 Volkswagen Tiguan Limited 2.0T,"7,350 mi.","$18,995"
87,2017 Volkswagen Tiguan Limited 2.0T,"10,995 mi.","$18,500"
88,2017 Volkswagen Tiguan Limited 2.0T,"8,923 mi.","$19,814"
89,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"3,313 mi.","$21,770"
90,2018 Volkswagen Tiguan Limited 2.0T 4MOTION,"3,447 mi.","$21,777"
91,2017 Volkswagen Tiguan Limited 2.0T,"10,823 mi.","$17,200"
92,2018 Volkswagen Tiguan Limited 2.0T,"5,498 mi.","$27,315"
93,2017 Volkswagen Tiguan Limited 2.0T,"10,035 mi.","$18,995"
94,2017 Volkswagen Tiguan Limited 2.0T,"7,606 mi.","$18,995"
