,Name,Mileage,Price
0,2015 Volkswagen Touareg Hybrid Base,"11,623 mi.","$35,881"
1,2012 Volkswagen Touareg Hybrid Base,"73,200 mi.","$16,988"
2,2011 Volkswagen Touareg Hybrid Base,"48,341 mi.","$20,000"
3,2011 Volkswagen Touareg Hybrid Base,"96,428 mi.","$17,995"
4,2011 Volkswagen Touareg Hybrid Base,"99,247 mi.","$15,995"
5,2011 Volkswagen Touareg Hybrid Base,"69,295 mi.","$23,995"
6,2012 Volkswagen Touareg Hybrid Base,"57,428 mi.","$17,896"
7,2012 Volkswagen Touareg Hybrid Base,"66,315 mi.","$19,756"
8,2011 Volkswagen Touareg Hybrid Base,"97,000 mi.","$12,800"
9,2014 Volkswagen Touareg Hybrid Base,"72,326 mi.","$22,874"
