,Name,Mileage,Price
0,2014 Volkswagen TDI with DSG Automatic Transmission,"7,934 mi.","$16,477"
1,2014 Volkswagen TDI w/Sunroof,"25,888 mi.","$14,200"
2,1973 Volkswagen Convertible,"69,363 mi.","$29,950"
3,2014 Volkswagen 2.0L TDI,"52,925 mi.","$10,900"
4,2013 Volkswagen 4dr Sdn DSG PZEV *Ltd Avail*,"56,002 mi.","$11,700"
5,2010 Volkswagen S,"111,255 mi.","$9,995"
6,1982 Volkswagen Base,"154,350 mi.","$4,494"
7,2012 Volkswagen PZEV,"37,231 mi.","$11,890"
8,2013 Volkswagen 4dr Sdn DSG PZEV *Ltd Avail*,"47,430 mi.","$12,995"
9,2014 Volkswagen 2.0L TDI,"34,773 mi.","$14,069"
10,2014 Volkswagen 2.0L TDI,"29,826 mi.","$15,027"
11,2012 Volkswagen PZEV,"90,640 mi.","$8,577"
12,2013 Volkswagen GLI,"59,348 mi.","$12,999"
13,2014 Volkswagen 2.0L TDI,"37,593 mi.","$14,900"
14,2014 Volkswagen 2.0L TDI,"24,498 mi.","$13,900"
15,2013 Volkswagen 4dr Sdn Man PZEV *Ltd Avail*,"90,749 mi.","$9,522"
16,2014 Volkswagen 2.0L TDI,"49,736 mi.","$10,749"
17,2012 Volkswagen 4dr Sdn DSG,"61,057 mi.","$10,995"
18,2014 Volkswagen,"46,235 mi.","$12,991"
19,2013 Volkswagen Autobahn,"93,877 mi.","$10,495"
20,2014 Volkswagen 2.0L TDI,"48,701 mi.","$11,050"
21,2013 Volkswagen 4dr Sdn Man,"36,209 mi.","$9,995"
22,2013 Volkswagen Autobahn w/Nav,"84,908 mi.","$10,581"
23,2012 Volkswagen Autobahn PZEV,"74,048 mi.","$9,795"
24,2014 Volkswagen 2.0L TDI,"37,657 mi.","$13,477"
25,2014 Volkswagen 2.0L TDI,"30,437 mi.","$12,988"
26,2014 Volkswagen 2.0L TDI,"42,683 mi.","$11,671"
27,2013 Volkswagen 4dr Sdn DSG PZEV *Ltd Avail*,"56,600 mi.","$9,995"
28,1963 Volkswagen Pickup truck,"18,689 mi.","$24,995"
29,2014 Volkswagen,"28,118 mi.","$13,988"
30,1973 Volkswagen,"55,320 mi.","$13,999"
31,2012 Volkswagen,"124,348 mi.","$8,000"
32,2013 Volkswagen 4dr Sdn Man PZEV *Ltd Avail*,"49,633 mi.","$12,395"
33,2014 Volkswagen 2.0L TDI,"45,871 mi.","$11,777"
34,2007 Volkswagen,"116,607 mi.","$4,599"
35,2014 Volkswagen 2.0L TDI,"37,801 mi.","$10,571"
36,2013 Volkswagen GLI,"65,423 mi.","$13,101"
37,1978 Volkswagen,"6,055 mi.","$27,900"
38,1978 Volkswagen,"94,145 mi.","$27,900"
39,2010 Volkswagen S,"129,226 mi.","$3,900"
40,2013 Volkswagen 4dr Sdn DSG *Ltd Avail*,"42,908 mi.","$13,791"
41,1971 Volkswagen,"50,406 mi.","$17,900"
42,1965 Volkswagen Samba,"24,701 mi.","$68,500"
43,1992 Volkswagen,"70,131 mi.","$29,900"
44,2012 Volkswagen PZEV,"57,472 mi.","$12,777"
45,"2012 Volkswagen GLI Sedan w/ Automatic, ALLOYS & MOONROOF","102,224 mi.","$7,997"
46,1980 Volkswagen Convertible,"85,993 mi.","$24,887"
47,2014 Volkswagen 2.0L TDI,"29,389 mi.","$14,500"
48,2014 Volkswagen 2.0L TDI,"28,815 mi.","$14,500"
49,1961 Volkswagen,"32,471 mi.","$14,900"
50,2010 Volkswagen S,"125,633 mi.","$3,699"
51,2012 Volkswagen PZEV,"100,703 mi.","$8,499"
52,1971 Volkswagen,"63,214 mi.","$29,900"
53,2014 Volkswagen 2.0L TDI,"29,868 mi.","$17,900"
54,2014 Volkswagen 2.0L TDI,"29,656 mi.","$13,900"
55,1982 Volkswagen Campmobile,"117,901 mi.","$12,000"
56,2014 Volkswagen 2.0L TDI,"60,598 mi.","$9,280"
57,2012 Volkswagen PZEV,"92,375 mi.","$7,995"
58,2012 Volkswagen PZEV,"98,925 mi.","$8,980"
59,1986 Volkswagen L/GL,"164,594 mi.","$19,500"
60,1960 Volkswagen Micro,"99,999 mi.","$4,500"
61,1974 Volkswagen,"31,751 mi.","$10,988"
62,1977 Volkswagen,"10,575 mi.","$15,900"
63,2012 Volkswagen 4dr Sdn DSG,"168,979 mi.","$6,334"
