,Name,Mileage,Price
0,2016 Volkswagen e-Golf SE,"18,762 mi.","$13,994"
1,2015 Volkswagen e-Golf Limited Edition,"45,001 mi.","$13,686"
2,2016 Volkswagen e-Golf SE,"19,728 mi.","$17,995"
3,2016 Volkswagen e-Golf SE,"14,359 mi.","$16,700"
4,2015 Volkswagen e-Golf Limited Edition,"19,037 mi.","$14,698"
5,2016 Volkswagen e-Golf SE,"30,415 mi.","$14,498"
6,2016 Volkswagen e-Golf SE,"4,000 mi.","$15,992"
7,2016 Volkswagen e-Golf SE 4D Hatchback,"25,665 mi.","$15,796"
8,2015 Volkswagen e-Golf SEL Premium,"38,034 mi.","$14,995"
9,2016 Volkswagen e-Golf SE,"10,431 mi.","$15,995"
10,2016 Volkswagen e-Golf SE,"28,701 mi.","$15,000"
11,2015 Volkswagen e-Golf SEL Premium,"51,983 mi.","$12,624"
12,2015 Volkswagen e-Golf Limited Edition,"34,877 mi.","$15,000"
13,2016 Volkswagen e-Golf SE,"14,359 mi.","$16,700"
14,2016 Volkswagen e-Golf SE,"17,011 mi.","$16,700"
15,2015 Volkswagen e-Golf Limited Edition,"15,413 mi.","$15,997"
16,2016 Volkswagen e-Golf SE,"15,026 mi.","$16,377"
17,2015 Volkswagen e-Golf SEL Premium,"13,562 mi.","$17,995"
18,2015 Volkswagen e-Golf Limited Edition,"3,436 mi.","$17,995"
19,2016 Volkswagen e-Golf SE,"23,272 mi.","$13,600"
20,2016 Volkswagen e-Golf SE,"28,664 mi.","$14,000"
21,2016 Volkswagen e-Golf SEL Premium,"33,054 mi.","$16,500"
22,2015 Volkswagen e-Golf Limited Edition,"14,786 mi.","$14,453"
23,2015 Volkswagen e-Golf SEL Premium,"19,849 mi.","$15,996"
24,2015 Volkswagen e-Golf SEL Premium,"17,458 mi.","$16,551"
25,2015 Volkswagen e-Golf Limited Edition,"31,886 mi.","$14,500"
26,2015 Volkswagen e-Golf Limited Edition,"28,609 mi.","$13,487"
27,2016 Volkswagen e-Golf SE,"21,512 mi.","$14,205"
28,2015 Volkswagen e-Golf SEL Premium,"17,532 mi.","$17,065"
29,2016 Volkswagen e-Golf SE,"18,014 mi.","$16,000"
30,2016 Volkswagen e-Golf SEL Premium,"19,140 mi.","$19,000"
31,2016 Volkswagen e-Golf SEL Premium,"18,189 mi.","$17,980"
32,2015 Volkswagen e-Golf Limited Edition,"15,629 mi.","$14,700"
33,2015 Volkswagen e-Golf,"30,785 mi.","$13,500"
34,2016 Volkswagen e-Golf SE,"10,813 mi.","$15,500"
35,2015 Volkswagen e-Golf Limited Edition,"41,889 mi.","$13,988"
36,2015 Volkswagen e-Golf SEL Premium,"28,788 mi.","$14,500"
37,2015 Volkswagen e-Golf Limited Edition,"26,253 mi.","$13,700"
38,2016 Volkswagen e-Golf SE,"36,812 mi.","$13,484"
39,2015 Volkswagen e-Golf Limited Edition,"21,118 mi.","$16,000"
40,2016 Volkswagen e-Golf SE,"30,386 mi.","$14,997"
41,2016 Volkswagen e-Golf SE,"8,338 mi.","$16,477"
42,2016 Volkswagen e-Golf SE,"5,833 mi.","$18,480"
43,2016 Volkswagen e-Golf SE,"31,887 mi.","$15,900"
44,2016 Volkswagen e-Golf SE,"12,610 mi.","$14,299"
45,2015 Volkswagen e-Golf LIMITED,"21,890 mi.","$13,199"
46,2016 Volkswagen e-Golf SE,"12,610 mi.","$14,299"
47,2015 Volkswagen e-Golf LIMITED,"21,890 mi.","$13,199"
48,2016 Volkswagen e-Golf SE,"17,011 mi.","$16,700"
49,2016 Volkswagen e-Golf SE,"17,011 mi.","$16,700"
50,2016 Volkswagen e-Golf SE,"27,876 mi.","$16,475"
51,2015 Volkswagen e-Golf Limited Edition,"13,069 mi.","$15,950"
52,2016 Volkswagen e-Golf SE,"14,359 mi.","$16,700"
53,2016 Volkswagen e-Golf SE,639 mi.,"$19,911"
54,2015 Volkswagen e-Golf Limited Edition,"29,485 mi.","$14,629"
55,2015 Volkswagen e-Golf SEL Premium,"38,704 mi.","$16,500"
56,2016 Volkswagen e-Golf SE,"23,202 mi.","$15,700"
57,2015 Volkswagen e-Golf SEL Premium,"1,818 mi.","$16,995"
58,2015 Volkswagen e-Golf SEL Premium,"38,704 mi.","$16,500"
59,2016 Volkswagen e-Golf SE,"14,359 mi.","$16,700"
60,2015 Volkswagen e-Golf LIMITED,"21,890 mi.","$13,199"
61,2016 Volkswagen e-Golf SE,"12,610 mi.","$14,299"
62,2016 Volkswagen e-Golf SE,"14,359 mi.","$16,700"
63,2016 Volkswagen e-Golf SE,"14,359 mi.","$16,700"
64,2016 Volkswagen e-Golf SE,"12,610 mi.","$14,299"
65,2015 Volkswagen e-Golf LIMITED,"21,890 mi.","$13,199"
66,2016 Volkswagen e-Golf SE,"17,011 mi.","$16,700"
67,2015 Volkswagen e-Golf LIMITED,"21,890 mi.","$13,199"
