,Name,Mileage,Price
0,2011 Volvo C70 T5,"55,332 mi.","$14,998"
1,2006 Volvo C70 T5,"91,385 mi.","$5,499"
2,2011 Volvo C70 T5,"65,609 mi.","$14,599"
3,2010 Volvo C70,"89,283 mi.","$6,488"
4,2003 Volvo C70 HT,"146,213 mi.","$4,990"
5,2010 Volvo C70 T5,"83,605 mi.","$9,481"
6,2009 Volvo C70 T5,"56,641 mi.","$13,599"
7,2012 Volvo C70 T5,"39,807 mi.","$14,981"
8,2011 Volvo C70 T5,"75,490 mi.","$12,998"
9,2009 Volvo C70 T5,"48,914 mi.","$13,998"
10,2009 Volvo C70 T5,"145,777 mi.","$7,559"
11,2008 Volvo C70 T5,"87,780 mi.","$9,998"
12,2004 Volvo C70 HT,"16,694 mi.","$9,990"
13,2012 Volvo C70 T5,"37,805 mi.","$14,000"
14,2010 Volvo C70,"83,523 mi.","$8,495"
15,2008 Volvo C70 2dr Conv Man,"95,501 mi.","$8,999"
16,2013 Volvo C70 T5,"56,877 mi.","$17,600"
17,2008 Volvo C70 T5,"49,106 mi.","$12,998"
18,2008 Volvo C70 T5,"93,405 mi.","$8,488"
19,2011 Volvo C70 T5,"117,957 mi.","$9,887"
20,2013 Volvo C70 T5 Premier Plus,"69,049 mi.","$17,364"
21,2004 Volvo C70 2dr Conv 2.4L Turbo,"65,557 mi.","$5,999"
22,2012 Volvo C70 T5,"56,691 mi.","$15,900"
23,2013 Volvo C70 T5,"88,269 mi.","$15,480"
24,2011 Volvo C70 T5,"44,846 mi.","$13,990"
25,2013 Volvo C70 T5,"63,879 mi.","$17,655"
26,2009 Volvo C70 T5,"94,663 mi.","$9,500"
27,2011 Volvo C70 2dr Conv Auto,"99,046 mi.","$9,999"
28,2013 Volvo C70 T5,"69,546 mi.","$16,530"
29,2007 Volvo C70 T5 Convertible,"77,418 mi.","$11,995"
30,2008 Volvo C70 T5 2dr Convertible,"101,839 mi.","$7,250"
31,2013 Volvo C70 T5 Premier Plus,"90,102 mi.","$17,995"
32,2004 Volvo C70 LT,"112,301 mi.","$3,994"
33,2013 Volvo C70 T5,"48,472 mi.","$18,398"
34,2010 Volvo C70 T5,"170,537 mi.","$6,000"
35,2010 Volvo C70 T5,"87,086 mi.","$10,595"
36,2011 Volvo C70 T5,"80,423 mi.","$11,286"
37,2013 Volvo C70 T5,"44,258 mi.","$18,598"
38,2012 Volvo C70 T5,"73,038 mi.","$14,991"
39,2012 Volvo C70 T5,"40,103 mi.","$16,599"
40,2004 Volvo C70 HT,"119,995 mi.","$3,900"
41,2008 Volvo C70 T5,"111,670 mi.","$7,000"
42,2011 Volvo C70 T5,"73,546 mi.","$12,495"
43,2009 Volvo C70 T5,"99,225 mi.","$9,988"
44,2010 Volvo C70 T5,"54,946 mi.","$10,000"
45,2013 Volvo C70 T5,"79,075 mi.","$14,876"
46,2001 Volvo C70 HT,"47,769 mi.","$12,990"
47,2001 Volvo C70 HT,"47,769 mi.","$12,990"
48,2013 Volvo C70 T5 Premier Plus,"39,740 mi.","$19,999"
49,2012 Volvo C70 T5,"80,755 mi.","$13,999"
50,2013 Volvo C70 T5 Premier Plus,"34,229 mi.","$22,900"
51,2007 Volvo C70 T5,"96,928 mi.","$5,995"
52,2012 Volvo C70 T5,"83,884 mi.","$9,995"
