,Name,Mileage,Price
0,2018 Volvo S60 T5 Dynamic,"1,963 mi.","$27,991"
1,2014 Volvo S60 T5,"77,827 mi.","$10,998"
2,2015 Volvo S60 T5 Premier,"68,922 mi.","$15,192"
3,2016 Volvo S60 T6 Drive-E Platinum,"35,598 mi.","$24,681"
4,2012 Volvo S60 T6,"54,000 mi.","$10,597"
5,2017 Volvo S60 T5 Dynamic,"36,545 mi.","$19,450"
6,2012 Volvo S60 T5,"67,124 mi.","$9,995"
7,2018 Volvo S60 T5 Dynamic,"11,901 mi.","$26,488"
8,2018 Volvo S60 T5 Dynamic,"10,145 mi.","$26,688"
9,2016 Volvo S60 T5 Drive-E Premier,"12,801 mi.","$20,488"
10,2016 Volvo S60 T5 Premier,"14,233 mi.","$22,888"
11,2016 Volvo S60 T5 Premier,"19,660 mi.","$22,988"
12,2016 Volvo S60 T5 Premier,"17,928 mi.","$23,998"
13,2012 Volvo S60 T6,"59,456 mi.","$15,998"
14,2012 Volvo S60 T5,"66,200 mi.","$10,993"
15,2018 Volvo S60 T5 Dynamic,19 mi.,"$29,095"
16,2012 Volvo S60 T6 R-Design,"75,213 mi.","$12,937"
17,2015 Volvo S60 T5 Premier,"43,119 mi.","$16,900"
18,2015 Volvo S60 T5 Premier,"21,765 mi.","$15,499"
19,2015 Volvo S60 T5 Premier,"21,765 mi.","$15,499"
20,2017 Volvo S60 T5 Dynamic,"29,144 mi.","$16,999"
21,2017 Volvo S60 T5 Dynamic,"52,397 mi.","$18,500"
22,2018 Volvo S60 T5 Dynamic,"14,568 mi.","$26,000"
23,2015 Volvo S60 T5 Premier,"45,470 mi.","$15,830"
24,2015 Volvo S60 T5 Premier,"55,404 mi.","$15,750"
25,2012 Volvo S60 T6 R-Design,"95,392 mi.","$12,968"
26,2013 Volvo S60 T5,"82,223 mi.","$11,989"
27,2015 Volvo S60 T5 Premier,"42,095 mi.","$16,990"
28,2015 Volvo S60 T5 Premier,"21,765 mi.","$15,499"
29,2017 Volvo S60 T5 Dynamic,"29,144 mi.","$16,999"
30,2015 Volvo S60 T5 Premier,"33,083 mi.","$19,990"
31,2015 Volvo S60 T5 Premier,"35,592 mi.","$16,981"
32,2015 Volvo S60 T5 Premier,"21,765 mi.","$15,499"
33,2017 Volvo S60 T5 Dynamic,"57,195 mi.","$20,465"
34,2015 Volvo S60 T5 Premier,"57,990 mi.","$16,732"
35,2012 Volvo S60 T5,"132,118 mi.","$7,000"
36,2015 Volvo S60 T5 Premier,"45,470 mi.","$15,830"
37,2014 Volvo S60 T5,"41,391 mi.","$16,690"
38,2007 Volvo S60 2.5T,"97,072 mi.","$7,232"
39,2016 Volvo S60 T5 Premier,"28,562 mi.","$21,900"
40,2012 Volvo S60 T5,"46,241 mi.","$11,990"
41,2016 Volvo S60 T5 Premier,"37,015 mi.","$18,627"
42,2017 Volvo S60 T5 Dynamic,"30,601 mi.","$19,893"
43,2016 Volvo S60 T5 Premier,"20,484 mi.","$21,200"
44,2015 Volvo S60 T5 Premier,"32,142 mi.","$17,900"
45,2016 Volvo S60 T6 R-Design Platinum,"2,911 mi.","$29,991"
46,2017 Volvo S60 T5 Dynamic,"19,920 mi.","$17,399"
47,2017 Volvo S60 T5 Dynamic,"52,858 mi.","$15,790"
48,2012 Volvo S60 T5,"92,427 mi.","$8,988"
49,2016 Volvo S60 T5 Premier,"29,316 mi.","$22,488"
50,2017 Volvo S60 T5 Dynamic,"10,858 mi.","$25,000"
51,2017 Volvo S60 T5 Dynamic,"17,620 mi.","$24,695"
52,2012 Volvo S60 T5,"39,657 mi.","$12,495"
53,2014 Volvo S60 T5,"40,110 mi.","$15,243"
54,2015 Volvo S60 T5 Premier,"46,638 mi.","$16,988"
55,2015 Volvo S60 T5 Premier,"21,765 mi.","$15,499"
