,Name,Mileage,Price
0,2007 Volvo,"494,000 mi.","$79,995"
1,1967 Volvo,"72,442 mi.","$36,900"
2,2010 Volvo 6X4 NEW GENERATION,"841,645 mi.","$100,000"
3,1998 Volvo,"939,257 mi.","$8,500"
4,2006 Volvo SEMI TRUCK,"1,309 mi.","$9,500"
5,2000 Volvo Base,"301,080 mi.","$5,995"
6,2012 Volvo,"380,355 mi.","$36,500"
7,1994 Volvo,"502,000 mi.","$10,995"
8,2016 Volvo,"170,420 mi.","$57,995"
9,1993 Volvo w/Option Pkg 1,"154,594 mi.","$1,995"
10,1995 Volvo 4dr Sedan,"124,543 mi.","$3,500"
11,2009 Volvo,"856,765 mi.","$17,995"
12,2011 Volvo,"530,036 mi.","$33,998"
13,2011 Volvo,"503,779 mi.","$33,998"
14,2017 Volvo C INSCRIPTI,"11,620 mi.","$59,881"
15,2006 Volvo,0 mi.,Not Priced
16,1965 Volvo 122S,"57,001 mi.",Not Priced
17,2017 Volvo C INSCRIPTI,"33,159 mi.","$42,486"
18,2019 Volvo T5 AWD MOM,"7,066 mi.","$41,986"
19,2006 Volvo,0 mi.,"$11,990"
20,2012 Volvo,"465,921 mi.",Not Priced
21,2019 Volvo T5 AWD R-D,"13,017 mi.","$49,900"
22,2007 Volvo,0 mi.,"$27,977"
23,1994 Volvo Touring,"371,604 mi.",Not Priced
24,2011 Volvo,"473,067 mi.",Not Priced
25,2019 Volvo T5 AWD R-D,"15,849 mi.","$44,481"
26,2017 Volvo C INSCRIPTI,"2,767 mi.","$54,950"
27,1996 Volvo,,"$13,500"
28,2019 Volvo T5 AWD MOM,"5,803 mi.","$38,950"
29,2019 Volvo T5 AWD MOM,"3,028 mi.","$44,980"
30,2017 Volvo C INSCRIPTI,"6,416 mi.","$43,995"
31,2017 Volvo C INSCRIPTI,"18,788 mi.","$49,995"
32,2019 Volvo T5 AWD R-D,"25,305 mi.","$45,600"
33,2019 Volvo T5 AWD MOM,"11,061 mi.","$39,900"
34,2019 Volvo T5 AWD MOM,"2,948 mi.","$42,900"
35,2017 Volvo T6 AWD CROS,"17,698 mi.","$50,025"
