,Name,Mileage,Price
0,2018 Volvo V60 T5 Dynamic,"18,738 mi.","$23,992"
1,2018 Volvo V60 T5 Dynamic,"17,753 mi.","$23,992"
2,2015 Volvo V60 T5 Premier,"13,865 mi.","$21,494"
3,2017 Volvo V60 T5 Premier,"41,563 mi.","$21,599"
4,2015 Volvo V60 T5 Premier,"41,508 mi.","$21,495"
5,2015 Volvo V60 T5 Premier,"25,469 mi.","$22,495"
6,2016 Volvo V60 T5 Drive-E Platinum,"32,202 mi.","$26,995"
7,2015 Volvo V60 T5 Premier,"35,119 mi.","$19,800"
8,2016 Volvo V60 T5 Drive-E Premier,"16,751 mi.","$24,991"
9,2015 Volvo V60 T5 Premier,"30,000 mi.","$20,800"
10,2017 Volvo V60 T6 R-Design Platinum,"13,225 mi.","$36,800"
11,2015 Volvo V60 T5 Premier,"16,475 mi.","$20,497"
12,2015 Volvo V60 T5 Premier,"24,379 mi.","$19,500"
13,2017 Volvo V60 T5 Premier,62 mi.,"$23,900"
14,2018 Volvo V60 T5 Dynamic,"19,721 mi.","$26,862"
15,2016 Volvo V60 T5 Premier,"39,381 mi.","$18,998"
16,2016 Volvo V60 T5 Premier,"18,317 mi.","$22,910"
17,2017 Volvo V60 T5 Premier,"30,562 mi.","$20,500"
18,2016 Volvo V60 T5 Premier,"45,956 mi.","$22,950"
19,2016 Volvo V60 T5 Platinum,"35,771 mi.","$24,450"
20,2017 Volvo V60 T5 Premier,"38,137 mi.","$22,650"
21,2018 Volvo V60 T5 Dynamic,"13,276 mi.","$27,995"
22,2015 Volvo V60 T5 Premier Plus,"22,254 mi.","$22,795"
23,2016 Volvo V60 T5 Drive-E Premier,"28,277 mi.","$24,388"
24,2015 Volvo V60 T5 Premier Plus,"46,059 mi.","$18,845"
25,2015 Volvo V60 T5 Drive-E Premier,"42,015 mi.","$16,788"
26,2017 Volvo V60 T5 Premier,"40,277 mi.","$20,180"
27,2017 Volvo V60 T5 Premier,"43,632 mi.","$18,880"
28,2017 Volvo V60 T5 Premier,"22,673 mi.","$21,945"
29,2017 Volvo V60 Polestar,"11,278 mi.","$43,991"
30,2018 Volvo V60 T5 Dynamic,"19,341 mi.","$25,680"
31,2017 Volvo V60 Polestar,"25,163 mi.","$42,500"
32,2016 Volvo V60 T5 Premier,"29,946 mi.","$19,900"
33,2017 Volvo V60 T5 Premier,"30,431 mi.","$20,630"
34,2017 Volvo V60 T5 Premier,"30,431 mi.","$20,630"
35,2017 Volvo V60 T5 Premier,"45,648 mi.","$19,197"
36,2015 Volvo V60 T6 R-Design Platinum,"64,674 mi.","$25,907"
37,2016 Volvo V60 T5 Premier,"19,219 mi.","$22,293"
38,2017 Volvo V60 T5 Premier,"43,632 mi.","$18,880"
39,2017 Volvo V60 T5 Premier,"30,431 mi.","$20,630"
40,2018 Volvo V60 T5 Dynamic,"19,341 mi.","$25,680"
