,Name,Mileage,Price
0,2016 Volvo XC60 T5 Premier,"33,551 mi.","$23,912"
1,2015 Volvo XC60 T6,"44,940 mi.","$22,921"
2,2018 Volvo XC60 T6 Inscription,"17,142 mi.","$44,397"
3,2015 Volvo XC60 T5 Premier,"91,004 mi.","$13,900"
4,2013 Volvo XC60 T6 Premier Plus,"91,849 mi.","$15,950"
5,2015 Volvo XC60 T5 Premier,"29,105 mi.","$19,998"
6,2015 Volvo XC60 T5 Premier,"29,717 mi.","$24,350"
7,2016 Volvo XC60 T6,"35,109 mi.","$29,991"
8,2013 Volvo XC60 3.2,"90,734 mi.","$14,988"
9,2017 Volvo XC60 T6 Inscription,"13,176 mi.","$33,864"
10,2010 Volvo XC60 T6,"122,000 mi.","$8,998"
11,2017 Volvo XC60 T6 Inscription,"34,346 mi.","$30,950"
12,2011 Volvo XC60 T6 R-Design,"102,553 mi.","$12,999"
13,2015 Volvo XC60 T6 Platinum,"72,389 mi.","$24,995"
14,2014 Volvo XC60 3.2L Platinum,"92,887 mi.","$14,998"
15,2015 Volvo XC60 T6 Premier Plus,"71,639 mi.","$21,988"
16,2011 Volvo XC60 T6,"79,612 mi.","$14,500"
17,2015 Volvo XC60 T6,"68,025 mi.","$20,800"
18,2014 Volvo XC60 T6,"75,866 mi.","$16,997"
19,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
20,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
21,2014 Volvo XC60 3.2,"62,306 mi.","$17,700"
22,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
23,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
24,2017 Volvo XC60 T5 FWD,"111,715 mi.","$12,900"
25,2018 Volvo XC60 T6 Momentum,"18,857 mi.","$42,474"
26,2015 Volvo XC60 T6,"37,804 mi.","$22,927"
27,2013 Volvo XC60 3.2,"45,567 mi.","$19,496"
28,2016 Volvo XC60 T5 Premier,"48,825 mi.","$24,490"
29,2014 Volvo XC60 3.2,"81,182 mi.","$15,950"
30,2013 Volvo XC60 T6,"73,356 mi.","$16,991"
31,2013 Volvo XC60 T6,"66,340 mi.","$21,900"
32,2017 Volvo XC60 T6 Dynamic,"11,049 mi.","$29,994"
33,2016 Volvo XC60 T6,"17,036 mi.","$31,201"
34,2018 Volvo XC60 T5 Inscription,"10,578 mi.","$47,500"
35,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
36,2015 Volvo XC60 T5 Premier,"34,723 mi.","$23,971"
37,2016 Volvo XC60 T5 Premier,"53,307 mi.","$22,995"
38,2013 Volvo XC60 3.2,"51,185 mi.","$17,981"
39,2018 Volvo XC60 Momentum,"18,938 mi.","$41,999"
40,2014 Volvo XC60 3.2,"110,345 mi.","$11,991"
41,2017 Volvo XC60 T6 R-Design,"14,300 mi.","$39,995"
42,2017 Volvo XC60 T5,"75,526 mi.","$16,795"
43,2017 Volvo XC60 T6 Dynamic,"23,816 mi.","$34,990"
44,2014 Volvo XC60 T6,"45,410 mi.","$22,490"
45,2014 Volvo XC60 T6,"45,410 mi.","$22,490"
46,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
47,2017 Volvo XC60 T5 Dynamic,"25,953 mi.","$30,988"
48,2017 Volvo XC60 T6 Dynamic,"21,591 mi.","$35,000"
49,2016 Volvo XC60 T5 Premier,"17,040 mi.","$31,000"
50,2015 Volvo XC60 T5 Drive-E Premier,"77,031 mi.","$16,709"
51,2013 Volvo XC60 3.2 Premier,"101,792 mi.","$10,995"
52,2015 Volvo XC60 T6 Premier Plus,"57,297 mi.","$21,991"
53,2016 Volvo XC60 T5 Premier,"49,415 mi.","$24,495"
54,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
55,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
56,2016 Volvo XC60 T5 Premier,"26,853 mi.","$21,999"
57,2017 Volvo XC60 T5 Dynamic,"10,558 mi.","$24,999"
58,2015 Volvo XC60 T6,"41,668 mi.","$23,990"
59,2017 Volvo XC60 T5 Inscription,"29,357 mi.","$22,895"
60,2017 Volvo XC60 T6 Inscription,"12,276 mi.","$33,494"
61,2016 Volvo XC60 T5 Premier,"29,102 mi.","$29,994"
62,2016 Volvo XC60 T6 Drive-E,"26,800 mi.","$26,544"
63,2014 Volvo XC60 Base,"40,063 mi.","$24,878"
64,2015 Volvo XC60 T5 Premier,"50,098 mi.","$24,644"
65,2018 Volvo XC60 T6 Momentum,"8,806 mi.","$42,000"
66,2018 Volvo XC60 T5 Momentum,"8,231 mi.","$41,800"
67,2016 Volvo XC60 T5 Premier,"72,473 mi.","$23,700"
68,2018 Volvo XC60 T6 Momentum,"5,743 mi.","$45,555"
69,2015 Volvo XC60 T6,"55,761 mi.","$24,400"
70,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
71,2016 Volvo XC60 T6 Drive-E,"32,255 mi.","$26,892"
72,2015 Volvo XC60 T5 Premier,"27,186 mi.","$26,389"
73,2015 Volvo XC60 T5 Premier,"36,571 mi.","$25,896"
74,2010 Volvo XC60 T6,"88,166 mi.","$11,499"
75,2016 Volvo XC60 T6 Premier Plus,"34,785 mi.","$26,750"
76,2017 Volvo XC60 T5 Dynamic,"13,452 mi.","$29,783"
77,2010 Volvo XC60 T6,"74,516 mi.","$12,599"
78,2013 Volvo XC60 3.2 Premier Plus,"30,074 mi.","$17,599"
79,2015 Volvo XC60 T6,"47,874 mi.","$23,996"
80,2015 Volvo XC60 T6 Platinum,"78,622 mi.","$20,222"
81,2016 Volvo XC60 T6,"21,216 mi.","$28,794"
82,2013 Volvo XC60 T6 Premier Plus,"55,312 mi.","$17,995"
83,2012 Volvo XC60 T6,"51,949 mi.","$18,325"
84,2015 Volvo XC60 T5 Premier,"39,198 mi.","$25,200"
85,2018 Volvo XC60 T5 Momentum,"19,043 mi.","$43,995"
86,2016 Volvo XC60 T5 Premier,"20,259 mi.","$29,995"
87,2011 Volvo XC60 3.2,"123,338 mi.","$8,300"
88,2016 Volvo XC60 T5 Premier,"35,570 mi.","$22,977"
89,2017 Volvo XC60 T6 Inscription,"25,226 mi.","$29,996"
90,2018 Volvo XC60 T5 Momentum,"7,833 mi.","$43,930"
91,2017 Volvo XC60 T6 Inscription,"20,131 mi.","$31,940"
92,2017 Volvo XC60 T5 Inscription,"44,724 mi.","$26,994"
93,2018 Volvo XC60 T6 Momentum,"18,978 mi.","$42,999"
94,2018 Volvo XC60 T5 Momentum,"12,342 mi.","$42,650"
95,2015 Volvo XC60 T5 Premier,"37,146 mi.","$25,999"
96,2016 Volvo XC60 T5 Premier,"19,995 mi.","$26,729"
97,2015 Volvo XC60 T5 Premier,"92,917 mi.","$18,999"
98,2016 Volvo XC60 T6 Drive-E Platinum,"41,325 mi.","$27,500"
99,2016 Volvo XC60 T6 Premier Plus,"41,835 mi.","$25,850"
100,2015 Volvo XC60 T5 Premier,"38,051 mi.","$25,991"
101,2018 Volvo XC60 T6 Momentum,"18,902 mi.","$40,498"
102,2015 Volvo XC60 T5 Premier,"55,941 mi.","$19,500"
103,2016 Volvo XC60 T5 Premier,"28,545 mi.","$26,500"
104,2016 Volvo XC60 T6 Platinum,"26,837 mi.","$33,991"
105,2017 Volvo XC60 T5 Inscription,"5,954 mi.","$34,991"
106,2010 Volvo XC60 T6,"94,000 mi.","$11,998"
107,2019 Volvo XC60 T5 Momentum,"3,375 mi.","$41,995"
108,2018 Volvo XC60 T6 Inscription,"11,892 mi.","$48,950"
109,2018 Volvo XC60 T5 Momentum,"17,687 mi.","$37,939"
110,2017 Volvo XC60 T6 Dynamic,"18,894 mi.","$34,755"
111,2011 Volvo XC60 3.2L,"133,955 mi.","$10,590"
112,2018 Volvo XC60 T6 Momentum,"19,269 mi.","$41,388"
113,2012 Volvo XC60 3.2,"53,448 mi.","$15,998"
114,2017 Volvo XC60 T5 Dynamic,"10,287 mi.","$33,467"
115,2016 Volvo XC60 T6 Drive-E Platinum,"32,958 mi.","$29,000"
116,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
117,2016 Volvo XC60 T5,"93,652 mi.","$16,900"
118,2016 Volvo XC60 T5 Premier,"32,752 mi.","$27,500"
119,2016 Volvo XC60 T5 Premier,"44,435 mi.","$25,992"
120,2016 Volvo XC60 T6 Drive-E,"20,829 mi.","$29,592"
121,2015 Volvo XC60 T6,"88,948 mi.","$20,000"
122,2010 Volvo XC60 3.2,"90,041 mi.","$9,791"
123,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
124,2010 Volvo XC60 T6,"111,631 mi.","$9,777"
125,2017 Volvo XC60 T6 Dynamic,"22,556 mi.","$34,990"
126,2016 Volvo XC60 T5 Premier,"31,583 mi.","$25,000"
127,2017 Volvo XC60 T5,"73,135 mi.","$18,350"
128,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
129,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
130,2016 Volvo XC60 T5 Drive-E,"98,420 mi.","$13,995"
131,2016 Volvo XC60 T6 Drive-E,"12,678 mi.","$32,981"
132,2017 Volvo XC60 T5 Dynamic,"23,777 mi.","$27,996"
133,2016 Volvo XC60 T6 Drive-E,"23,906 mi.","$23,788"
134,2016 Volvo XC60 T5 Drive-E Premier,"28,510 mi.","$29,998"
135,2015 Volvo XC60 T6,"40,061 mi.","$23,500"
136,2016 Volvo XC60 T6 Drive-E,"52,557 mi.","$26,495"
137,2012 Volvo XC60 3.2 Platinum,"104,501 mi.","$12,950"
138,2016 Volvo XC60 T6 Premier Plus,"25,916 mi.","$24,600"
139,2011 Volvo XC60 3.2,"138,826 mi.","$9,494"
140,2011 Volvo XC60 3.2,"138,826 mi.","$9,494"
141,2017 Volvo XC60 T6 Inscription,"28,725 mi.","$34,543"
142,2017 Volvo XC60 T6 Dynamic,"23,816 mi.","$34,990"
143,2016 Volvo XC60 T6 Drive-E,"29,560 mi.","$30,250"
144,2016 Volvo XC60 T5 Premier,"35,928 mi.","$23,985"
145,2015 Volvo XC60 T6,"60,126 mi.","$19,820"
146,2017 Volvo XC60 T5 Dynamic,"10,558 mi.","$24,999"
147,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
148,2015 Volvo XC60 T6 Platinum,"50,983 mi.","$21,988"
149,2016 Volvo XC60 T6 Premier Plus,"28,452 mi.","$24,698"
150,2015 Volvo XC60 T6,"38,088 mi.","$22,500"
151,2010 Volvo XC60 T6,"97,027 mi.","$12,287"
152,2015 Volvo XC60 3.2 Platinum,"49,501 mi.","$23,500"
153,2016 Volvo XC60 T5 Premier,"30,171 mi.","$28,500"
154,2016 Volvo XC60 T6 Drive-E,"10,538 mi.","$32,850"
155,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
156,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
157,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
158,2015 Volvo XC60 T5 Drive-E Premier,"47,414 mi.","$19,495"
159,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
160,2014 Volvo XC60 3.2,"75,562 mi.","$14,998"
161,2017 Volvo XC60 T6 Dynamic,"17,838 mi.","$33,333"
162,2015 Volvo XC60 T5 Premier,"15,972 mi.","$19,995"
163,2018 Volvo XC60 T6 Inscription,"18,924 mi.","$45,994"
164,2015 Volvo XC60 T5 Premier,"131,774 mi.","$12,490"
165,2012 Volvo XC60 3.0L,"88,526 mi.","$14,500"
166,2016 Volvo XC60 T5 Drive-E Premier,"40,569 mi.","$24,398"
167,2015 Volvo XC60 T6 Platinum,"82,403 mi.","$19,575"
168,2016 Volvo XC60 T6 Platinum,"41,169 mi.","$29,900"
169,2015 Volvo XC60 T6 Platinum,"50,000 mi.","$23,990"
170,2016 Volvo XC60 T5 Premier,"54,134 mi.","$24,992"
171,2016 Volvo XC60 T5 Premier,"36,441 mi.","$25,997"
172,2014 Volvo XC60 3.2L Premier,"85,288 mi.","$17,872"
173,2016 Volvo XC60 T6 Drive-E,"46,579 mi.","$27,900"
174,2015 Volvo XC60 T6 Premier Plus,"43,640 mi.","$22,970"
175,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
176,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
177,2015 Volvo XC60 T5 Premier,"35,758 mi.","$25,995"
178,2017 Volvo XC60 T5 Inscription,"14,169 mi.","$30,902"
179,2016 Volvo XC60 T5 Premier,"30,813 mi.","$26,599"
180,2016 Volvo XC60 T5 Premier,"27,714 mi.","$26,982"
181,2015 Volvo XC60 T5 Drive-E Premier,"37,600 mi.","$18,937"
182,2011 Volvo XC60 3.2,"103,173 mi.","$11,900"
183,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
184,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
185,2015 Volvo XC60 T6 Platinum,"40,176 mi.","$22,299"
186,2015 Volvo XC60 T6 Premier Plus,"35,939 mi.","$25,995"
187,2016 Volvo XC60 T5 Platinum,"23,191 mi.","$29,957"
188,2016 Volvo XC60 T5 Premier,"42,045 mi.","$26,764"
189,2015 Volvo XC60 T5,"59,467 mi.","$19,495"
190,2013 Volvo XC60 T6,"82,201 mi.","$16,500"
191,2016 Volvo XC60 T6 Premier Plus,"63,935 mi.","$22,992"
192,2016 Volvo XC60 T5 Premier,"32,074 mi.","$27,995"
193,2017 Volvo XC60 T6 Dynamic,"25,025 mi.","$29,768"
194,2017 Volvo XC60 T5 Dynamic,"31,783 mi.","$29,450"
195,2015 Volvo XC60 T5 Premier,"43,486 mi.","$23,650"
196,2016 Volvo XC60 T6 Drive-E,"28,571 mi.","$27,500"
197,2011 Volvo XC60 T6,"56,109 mi.","$14,431"
198,2012 Volvo XC60 T6,"103,400 mi.","$13,688"
199,2016 Volvo XC60 T5 Premier,"23,646 mi.","$28,990"
200,2015 Volvo XC60 T5 Premier,"40,604 mi.","$19,993"
201,2015 Volvo XC60 T6,"43,755 mi.","$23,998"
202,2016 Volvo XC60 T5 Platinum,"34,080 mi.","$25,697"
203,2017 Volvo XC60 T5 Dynamic,107 mi.,"$31,900"
204,2016 Volvo XC60 T5 Premier,"35,106 mi.","$26,000"
205,2016 Volvo XC60 T6 Drive-E,"30,042 mi.","$26,000"
206,2016 Volvo XC60 T6 Drive-E,"29,429 mi.","$29,000"
207,2017 Volvo XC60 T5 Inscription,"45,270 mi.","$24,680"
208,2016 Volvo XC60 T5 Platinum,"36,303 mi.","$29,680"
209,2018 Volvo XC60 T6 Momentum,"18,897 mi.","$39,995"
210,2017 Volvo XC60 T6 R-Design,"15,379 mi.","$41,888"
211,2011 Volvo XC60 T6,"43,601 mi.","$17,500"
212,2015 Volvo XC60 T5,"38,670 mi.","$20,752"
213,2018 Volvo XC60 T6 Momentum,"17,789 mi.","$40,688"
214,2018 Volvo XC60 T5 Momentum,"16,085 mi.","$38,950"
215,2018 Volvo XC60 T5 Momentum,"13,700 mi.","$37,750"
216,2012 Volvo XC60 3.2 Premier,"155,316 mi.","$8,973"
217,2018 Volvo XC60 T5 Momentum,"16,766 mi.","$38,950"
218,2013 Volvo XC60 T6 Platinum,"70,050 mi.","$17,450"
219,2013 Volvo XC60 T6 Platinum,"73,339 mi.","$17,995"
220,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
221,2017 Volvo XC60 T5 Inscription,"32,208 mi.","$28,975"
222,2010 Volvo XC60,"71,258 mi.","$10,995"
223,2016 Volvo XC60 T6 Drive-E Platinum,"28,376 mi.","$31,987"
224,2015 Volvo XC60 T6,"34,344 mi.","$21,200"
225,2015 Volvo XC60 T6 Platinum,"39,435 mi.","$21,199"
226,2016 Volvo XC60 T6 Premier Plus,"52,075 mi.","$26,231"
227,2017 Volvo XC60 T5 Dynamic,"21,640 mi.","$30,977"
228,2017 Volvo XC60 T5 Inscription,"40,318 mi.","$21,899"
229,2016 Volvo XC60 T6 Drive-E R-Design,"9,864 mi.","$33,981"
230,2018 Volvo XC60 T5 Momentum,"13,358 mi.","$42,268"
231,2017 Volvo XC60 T5 Inscription,"52,400 mi.","$23,700"
232,2017 Volvo XC60 T5 Inscription,"42,277 mi.","$23,995"
233,2017 Volvo XC60 T5 Dynamic,"22,556 mi.","$33,998"
234,2016 Volvo XC60 T5 Drive-E Premier,"24,710 mi.","$29,998"
235,2017 Volvo XC60 T5 Dynamic,"33,102 mi.","$30,987"
236,2018 Volvo XC60 T6 Momentum,"18,252 mi.","$38,996"
